TOIMENPIDE,Lyhenne,Pitkä.nimi,Långt_namn,yhteensa
KBV12,Virtsanjohdinstentin poisto endoskopiass,Virtsanjohdinstentin poistaminen virtsatietähystyksessä,Transluminalt endoskopiskt avlägsnande av uretärstent,110
6292,,,,110
XX1FW,Laus.vier.MK-kuvista,Lausunto magneettitutkimuksesta,Utlåtande om MR-undersökning,110
NHG82,Muun varvasnivelen luudutus,Muun varvasnivelen luudutus,Artrodes av annan tåled,109
PA6AE,Kaulaverisuonten UÄ,Kaulan verisuonten ultraäänitutkimus,"Halskärlen, UL",109
FN1XT,"Sepelv.muu tmp,kat",Sepelvaltimon muu toimenpide katetrin kautta,"Kransartär, annan perkutant ingrepp",108
FNC40,"Sepelvaltimo-ohitusleikkaus,neljä dista","Sepelvaltimoiden ohitusleikkaus, neljä distaalista anastomoosia",Aortokoronar by-pass-operation med fyra ventransplantat,108
SJC02,Kiinnikkeiden paikan määritys ja etsauskiinnitys,Kiinnikkeiden paikan määritys ja etsauskiinnitys,Definiering av fixeringsplatsen och fixering (etsning) av bracketter,108
XF602,Verenpaineen pitkäaikaisseuranta,Verenpaineen pitkäaikaisseuranta,Monitorering av blodtrycket,108
LAF20,Unilat transvag salp-ooph ectomia,Munasarjan ja munajohtimen toispuolinen poisto emättimen kautta,Unilateral transvaginal salpingo-oophorectomi,108
NK4CM,Muun nivelen l.3TMT,Muun nivelen laaja 3 Teslan MT,"Annan led, omfattande MR (över 1,5T)",108
HWH99,"Rintarauhasleikk haavarevisio,muu",Muu rintarauhasleikkauksen haavakomplikaatioleikkaus,Annan reoperation p.g.a. komplikation efter bröstoperation,107
K120,,,,107
KDV20,Vierasaineruiske uretralimak alle,Vieraan aineen ruiskuttaminen virtsaputken limakalvon alle,Submukös injektionsbehandling i uretra,107
PEH57,"Ohitus,femoropopliteaalinen polven alap","Ohitusleikkaus, a. femoraliksesta a. popliteaan polven alapuolelle",By-pass från a. femoralis till a. poplitea nedanom knäleden,107
PHM77,"Laskimon suonensisäinen hoito, v. saphena parva","Laskimon suonensisäinen hoito, v. saphena parva",Endovenös obliteration av v.saphena parva,107
QWA00,"Iho-/subkutisleik haavarevisio,auenn/inf",Auenneen tai tulehtuneen iho- ja ihonalaiskudosleikkauksen leikkaushaavan tarkistaminen,Revision för sårruptur/sårinfektion efter operation på hud/subkutan vävnad,107
A410,,,,106
GAC01,Biopsia keuhkopussista tähystykses,Koepalan otto keuhkopussista rintaontelon tähystyksessä,Torakoskopisk pleurabiopsi,106
HAD50,Rintarauhasproteesin poisto,Rintarauhasproteesin poisto,Avlägsnande av inopererad bröstprotes,106
KAB00,Koepalan ottaminen munuaisesta,Koepalan ottaminen munuaisesta tai munuaisaltaasta,Biopsi av njure eller njurbäcken,106
KE1BG,"Eturauhasen magneettitutkimus (1,5T)",Eturauhasen magneettitutkimus,"Prostata, MR",106
NDM99,Muu käden pehmytkudosleikkaus,Muu käden pehmytkudosleikkaus,Annan mjukdelsoperation på handen,106
FPG30,"Rytmihäiriötahdist asennus, kammmiojohdin, VVI(R)","Rytmihäiriötahdistimen asennus, kammmiojohdin, VVI(R)",Inläggande av cardioverter-defibrillator med ventrikularelektroder,105
H0156,,,,105
H0981,,,,105
H1302,,,,105
FM2FN,Sydämen oikovirtauksen gammakuvau,Sydämen oikovirtauksen gammakuvaus,Intrakardiell shunt isotopundersökning,105
NC1CM,Kyynärpään l.3TMT,Kyynärpään ja/tai kyynärvarren laaja 3 Teslan MT,"Armbåge och/eller underarm, omfattande MR (över 1,5T)",105
XX9XE,Muu UÄ,Muu UÄ,Annan UL,105
ECA20,Koepalan otto ikenestä,Koepalan otto ikenestä,Biopsi av gingiva,104
FN2EA,Rotablaatio,Sepelvaltimon rotablaatio,Rotablation av koronarartär,104
K324,,,,104
NAR00,"Selkärankakasvaimen poisto,intrales/marg","Selkärangan kasvaimen poisto,  intralesionaalinen tai  marginaalinen","Exstirpation av tumör i kotpelaren, intralesional eller marginell",104
NHQ30,Amputaatio jalkapöydän alueelta,Amputaatio jalkapöydän alueelta,Amputation genom mellanfoten,104
NE1DM,Lonkan er.l.3TMT,"Lantion, lonkan, reiden erittäin laaja 3 Teslan MT","Höftled och/eller femur, mycket omfattande MR (över 1,5T)",104
AA4BG,Sellan VKMT,Sellan magneettitutkimus,"Sella, MR",104
AAA10,Koepalaotto porareiän kautta aivoista,Koepalan otto poranreiän kautta aivoista,Biopsi via borrhål,103
DFF40,Huimauksen otoneurologinen tutkimus,"Huimauksen otoneurologinen tutkimus, sisältäen asentohuimauksen otoneurologisen tutkimuksen ja asentohoidon",Otoneurologisk yrselutredning,103
H1105,,,,103
JFA52,Muu paksusuolen vuodon tyrehdytys tähyst,Muu paksusuolen verenvuodon tyrehdytys tähystyksessä,Annat endoskopiskt hemostatiskt ingrepp i kolon,103
PEE23,"Tromb/embolektomia,a. femoralis communis","Veritulpan tai tukoksen poistaminen, a. femoralis communis",Trombektomi eller embolektomi ur a. femoralis communis,103
QWD00,"Iho-/subkutisleik haavarevisio,vuoto",Uusintaleikkaus iho- ja ihonalaiskudoksen leikkaushaavan vuodon vuoksi,Reoperation för blödning efter operation på hud/subkutan vävnad,103
ZZH22,"Omakudosluusiirre,hohka-kortikalisblokki","Omakudosluusiirre, hohka-kortikalis blokkina","Autologt bentransplantat, spongiosa-kortikalis-block",103
ABC60,Ydintilan dekompressio kaularanka,Selkäydintilan avarrus kaularangan alueella,Dekompression av cervikal ryggmärg,102
NAR20,Paikall. selän tai kaulan pehmytkudoskasv. poisto,Paikallinen selän tai kaulan pehmytkudoskasvaimen poisto,Exstirpation av lokal mjukdelstumör i rygg eller hals,102
NCJ64,"Kyynärvarsimurtumaleikk,ruuvi/piikki ym.",Kyynärvarren murtuman muu sisäinen kiinnitys,Behandling av antebrachiumfraktur med annan fixation,102
PD4ST,Lantion ja alaraajavaltimoiden liuotushoito,Lantion ja alaraajavaltimoiden liuotushoito,"Bäcken- och benartärer, trombolys",102
WX900,Elvytys,Verenkierron ja hengityksen elvytys,Resuskitering av blodcirkulation och andning,102
XQ858,Happiosapaineen mittaus,Happiosapaineen mittaus,Mätning av partialtrycket för syre,102
ACC53,Kyynärhermon vapautus,Kyynärhermon vapautus,Dekompression av n. ulnaris,102
JBC01,Ruokatorven antirefluksileikk tähystykse,Ruokatorven antirefluksileikkaus vatsaontelon tähystyksessä,Laparoskopisk operation för gastroesofageal reflux,102
JN1DM,Ylävatsan er.l.3TMT,Ylävatsan erittäin laaja 3 Teslan MT,"Övre del av buken, mycket omfattande MR (över 1,5T)",102
4924,,,,102
NA2BM,Rintarangan 3TMT,Rintarangan 3 Teslan MT,"Bröstrygg, MR (över 1,5T)",102
NC1AD,Kyynärpään TT,Kyynärpään tietokonetomografiatutkimus,"Armbåge, DT",102
GAC10,Vierasesineen poisto keuhkopussista,Vierasesineen poisto keuhkopussista,Avlägsnande av främmande kropp ur pleurahålan,101
JGA73,Peräsuolen seinän läpi ulott poisto sis,Peräaukon kautta tehty peräsuolen seinämän läpi menevä paikallisen muutoksen poisto,Transanal excision (innefattande alla väggskikt) av förändring i rectum,101
KBH20,Ureteroneokystostomia,Virtsanjohtimen istuttaminen virtsarakkoon,Ureteroneocystostomi,101
KFA00,Kiveksen tutkimusleikkaus,Kiveksen tutkimusleikkaus,Exploration av testis,101
PH2AC,Alaraajan laskimot.,"Alaraajan laskimon varjoainetutkimus (flebografia, venografia)",Flebografi av nedre extremitet,101
F325,,,,101
NA6BM,SI-nivelten 3TMT,Ristiluun nivelten 3 Teslan MT,"Korsben och SI-leder, MR (över 1,5T)",101
PJ1AN,Imuteiden gammakuvaus,Imuteiden gammakuvaus,Lymfsystem isotopundersökning,101
AEA50,Kudoksen sisään asetetun neurostimulaattorin säätö,Kudoksen sisään asetetun neurostimulaattorin säätö,Justering av neurostimulator implanterad i vävnad,100
DQB30,Kurkunpään poisto,Kurkunpään poisto,Total laryngektomi,100
SPB10,Tilapäisen kruunun valmistaminen vastaan,Tilapäisen hammaskruunun valmistaminen vastaanotolla,Framställning av provisorisk tandkrona på mottagningen,100
UJC12,"Ruokatorven tähystys,taipuisa tähystin",Ruokatorven tähystys taipuisalla tähystimellä,Esofagoskopi med flexibla instrument,100
ZFX00,Pallolaajennuskatetrin käyttö,Pallolaajennuskatetrin käyttö,Balloonkateter,100
ND2BG,"Käden magneettitutkimus (1,5T)",Käden magneettitutkimus,"Hand, MR",100
ZZG00,"Rusto, omakudos, autografti","Rusto, omakudos, autografti",Autologt brosktransplantat,100
FK1AC,Oikean kammion angiografia,Sydämen oikean puolen angiografia,"Höger hjärthalva, angiografi",99
JAH30,Vatsaontelon aukaisu ja auki jättö,Vatsaontelon aukaisu ja auki jättö,Laparostomi,99
JFB50,Muu paksusuolen typistys,Muu paksusuolen typistys,Annan öppen kolonresektion,99
K4,,,,99
NHG22,Alemman nilkkanivelen luudutusleikkaus,Alemman nilkkanivelen luudutusleikkaus,Artrodes av subtalo-leden (talo-calcanear-leden),99
NHG26,Nilkkaluu-jalkapöydänluuluudutus,Nilkkaluiden tai nilkka-jalkapöydänluiden välinen luudutusleikkaus,Tarsalartrodes eller tarso-metatarsalartrodes,99
R1100,Yleisarvio kuntoutustarpeesta,Yleisarvio kuntoutustarpeesta,Allmän bedömning av rehabiliteringsbehovet,99
UKA02,Ureteropyeloskopia alatietä,Virtsanjohtimen ja munuaisaltaan tähystys virtsateiden kautta,Transluminal pyeloskopi,99
PHD77,Pienen safeenalaskimon poistaminen,Pienen safeenalaskimon poistaminen,Excision/exeres (stripping) av v. saphena parva,99
F786,,,,99
PC5DE,Munuaisvalt ja lask Doppler-UÄ,Munuaisvaltimoiden ja laskimoiden Doppler-UÄ,"Njurkärlen, UL med Doppler teknik",99
CHD00,"Lasertrabekuloplastia, LTP","Lasertrabekuloplastia, LTP",Lasertrabekuloplastik,98
F210,,,,98
GDA21,Keuhkomuutospoisto tähystyksessä,Keuhkon kudosmuutoksen paikallinen poisto rintaontelon tähystyksessä,Torakoskopisk exstirpation av lokal förändring i lunga,98
JDA42,Muu ventrikk/pylorusvuoto tyrehd tähysty,Muu mahalaukun ja -portin verenvuodon tyrehdyttäminen tähystyksessä,Annan endoskopisk hemostatisk åtgärd i ventrikeln inkl pylorus,98
JMA11,Pernan poisto vatsaontelon tähystyksessä,Pernan poisto vatsaontelon tähystyksessä,Laparoskopisk splenektomi,98
NC1AE,Kyynärnivelen UÄ,Kyynärnivelen ultraäänitutkimus,"Armbågsled, UL",98
QAA00,Pään tai kaulan ihon pisto,Pään tai kaulan ihon pisto,Punktion i huvud-halsregionen,98
TJD00,Nenämaha/nenä-maha-pohjukaissuoliletku,Nenämaha- tai nenä-maha-pohjukaissuoliletkun laitto,Införande av nasogastrisk eller nasogastroduodenal sond,98
XFE00,Ultraäänitutkimus sydämen pinnalta,Ultraäänitutkimus sydämen pinnalta,Epikardiell ultraljudsundersökning,98
HA4MT,"Rintar.merkk,mammogr",Rintarauhasen lankamerkkaus mammografiaohjauksessa,"Bröstkörteltumör, mammografistyrd märkning",98
ABC33,Hermojuuridekompr rintarangassa,Hermojuuridekompressio rintarangan alueella,Dekompression av nervrötter i thorakala regionen av ryggen,97
FN2AA,Sepelvaltimon pallolaajennushoito,Sepelvaltimon suonensisäinen laajennushoito (PTCA) pelkkää palloa käyttäen,Perkutan transluminal koronarangioplastik (PTCA) med enbart ballong,97
H0308,,,,97
HAC10,"Subkutaaninen mastektomia,nännin säästäv","Rintarauhasen ihonalainen poisto, nännin säästävä",Subkutan mastektomi med bevarad mamill,97
RS312,,,,97
KBJ60,Ureteroenterourethrostomia,Virtsaputken yhdistäminen virtsarakon suolikorvikkeeseen,Ureteroenterouretrostomi (blåssubstitut av tarm),97
WX120,Yläraajan laskimopuudutus,Yläraajan laskimopuudutus,Intravenös regionalanestesi av övre extremitet,97
FPK00,Rytmivalvurin asentaminen,Rytmivalvurin asentaminen,Implantation av apparat för kontinuerlig EKG med minnesloop,96
H0629,,,,96
JCA42,Muu ruokatorvivuodon tyrehd tähystyksess,Muu ruokatorven vuodon tyrehdyttäminen tähystyksessä,Annan endoskopisk hemostatisk behandling i esofagus,96
LEG10,Nauhaleikkaus emättimestä iholle  (TVT),Häpyluuntakainen nauhaleikkaus emättimestä iholle  (TVT),Vaginal uretrocystopexi (med slynga),96
SPF30,Proteesin pohjaus,Proteesin pohjaus,Rebasering av protes,96
EG1DG,Leukanivel er.l.VKMT,Leukanivelten erittäin laaja magneettitutkimus,"Käkleder, mycket omfattande MR",96
TAD04,Sympaattihermoston salpaus keliakus,Sympaattisen hermoston salpaus keliakuspunoksessa,Sympathicus-blockad i ganglion coeliacum,96
F935,,,,96
ENB20,Nielun kookkaan kasvaimen tai muun muutoks. poisto,Nielun kookkaan kasvaimen tai muun kudosmuutoksen poisto,Exstirpation av stor tumör eller annan förändring i svalget,95
FKD10,"Mitraalitekoläppä,biologinen","Mitraalitekoläpän asettaminen, biologinen",Implantation av biologisk mitralisklaffprotes,95
FN1BD,Sepelvaltimoiden laaja TT,Sepelvaltimoiden laaja tietokonetomografiatutkimus,"Kranskärl, omfattande DT",95
JFF30,Muu paksusuolen avanne,Muu paksusuolen avanne,Annan öppen kolostomi,95
KC1JB,Miktiokystografia,Virtsarakon toiminnan varjoainetutkimus (miktiokystografia),Miktionscystografi,95
KFD20,Vesikivesleikkaus,Vesikivesleikkaus,Operation för hydrocele testis,95
NDJ62,Ranteen/käden luun murtumaleikk levyllä,Ranteen tai käden luun murtumaleikkaus levyllä,Plattfixation av fraktur i handled eller hand,95
SHA04,"Purentafysiologinen hoitokäynti, erittäi","Purentafysiologinen hoitokäynti, erittäin vaativa",Mycket krävande bettfysiologisk behandling,95
TCG00,"Sarveis-/kovakalvosuoja,kontaktilinssi",Sarveis- ja kovakalvon suojaus kontaktilinssillä,Behandling av sår i hornhinna eller sklera med bandagelins,95
TFP47,Eteis-kammiosolmukkeen katkaisu tai modifikaatio,Eteis-kammiosolmukkeen katkaisu tai modifikaatio,Ablation eller modifikation av a-v knutan,95
FMD22,"Aorttaläppäsiir asetta suon.sis, homogr","Aorttaläppäsiirteen asettaminen suonensisäisesti, homografti","Perkutan transluminal Implantation av aortaklaff, homograft",95
NA2CM,Rintarangan l.3TMT,Rintarangan laaja 3 Teslan MT,"Bröstrygg, omfattande MR (över 1,5T)",95
NHK99,Muu jalkaterän luuleikkaus,Muu jalkaterän luuleikkaus,Annan skelettoperation på foten,94
RS228,,,,94
WF029,Paikallisesti uusineen kasvaimen sädehoito,Paikallisesti uusineen kasvaimen sädehoito,Strålbehandling av lokalt recidivtumör,94
LAE21,Munasarjojen poisto LAP,Munasarjojen poisto vatsaontelon tähystyksessä,Laparoskopisk bilateral ooforektomi,94
1302P,,,,94
BA2AT,Kilpir.kudosn.UÄ-ohj,Kilpirauhasen kudosnäytteen otto UÄ-ohjauksessa,"Sköldkörtel, UL-styrd vävnadsbiopsi",93
CKA10,Lasiaisnäytteen otto,Lasiaisnäytteen otto,Biopsi av glaskropp,93
DHB00,Paikallisen kudosmuutoksen poisto nenältä,Paikallisen kudosmuutoksen poisto nenältä,Exstirpation av lokal vävnadsförändring från näsan,93
MAC96,Muu synnytyskäynnistys/edistävä tmp,Muu synnytystä käynnistävä tai edistävä toimenpide,Annat ingrepp för inledande av förlossning eller värkförstärkning,93
TAA40,Aivo-selkäydinesteen kanavointi iholle,Aivo-selkäydinesteen kanavointi iholle,Kanalisering av cerebro-spinalvätska genom huden,93
XQ820,Lääkeainealtistus,Lääkeainealtistus,Läkemedelsprovokation,93
FM1CG,Sydämen l.VKMT,Sydämen laaja magneettitutkimus,"Hjärta, omfattande MR",93
FM1DM,Sydämen er.l.3TMT,Sydämen erittäin laaja 3 Teslan MT,"Hjärta, mycket omfattande MR (över 1,5T)",93
LGA11,Tubien katkaisu tai poltto LAP,Munanjohtimien katkaisu tai poltto vatsaontelon tähystyksessä,"Laparoskopisk koagulation och/eller delning av tubor för sterilisation,",93
JN3KE,Vatsael.v.a. UÄ,Vatsaelimen ultraäänitutkimus varjoainetta käyttäen,"Bukorgan, UL med kontrastmedel",93
AWB00,"Hermostoleikkhaavarevisio,auenn/inf",Auenneen tai tulehtuneen hermoston leikkaushaavan tarkistaminen,Revision av dehiscens eller infektion i operationssår (neuro-operation),92
FN2CA,Monisuonitaudin PTCA,Sepelvaltimon suonensisäinen laajennushoito (PTCA) useamman kuin yhden pääsuonirungon alueelle samassa toimenpiteessä,Perkutan transluminal koronarangioplastik (PTCA) i flera huvudkärlringar under samma ingrepp,92
SAC01,"Hoidon erillinen työsuunnittelu,perustaso","Suun ja hampaiston hoidon erillinen työsuunnittelu, perustaso",Separat planering av arbetet i samband med vård av mun och tänder,92
TGA30,Rintaontelon pisto,Rintaontelon pisto,Torakocentes,92
WB600,Prim.kasv. leik. edel. hoito vast. aineella,Primaarikasvaimen leikkausta tai sädehoitoa edeltävä hoito vasta-aineella,Antikroppsbehandling av primärtumör före operation eller strålbehandling                        ,92
EG1CG,Leukanivel l.VKMT,Leukanivelten laaja magneettitutkimus,"Käkleder, omfattande MR",92
F668,,,,92
FM1QE,Sikiön sydämen laaja UÄ,Sikiön sydämen laaja ultraäänitutkimus,"Fosterhjärta, omfattande UL",91
JN6CD,Vartalon ja kaulan erittäin laaja TT,Vartalon ja kaulan erittäin laaja tietokonetomografiatutkimus,"Kropp och hals, mycket omfattande DT",91
PEH56,"Ohitus,femoropopliteaalinen polven yläp","Ohitusleikkaus, a. femoraliksesta a. popliteaan polven yläpuolelle",By-pass från a. femoralis till a. poplitea ovanom knäleden,91
XX2XT,"Injektio, muu ohjaus",Muu injektio radiologisessa ohjauksessa,Annan radiologiskt styrd injektion,91
Z3231,Sairaanhoitaja,Sairaanhoitaja,Sjukskötare,91
FPD96,Muu eteisvärinä vuoksi tehtävä leikkaus,Muu eteisvärinän vuoksi tehtävä leikkaus,Annan operation för förmaksflimmer,91
GDA11,Biopsia keuhkoista tähystyksessä,Koepalan otto keuhkoista rintaontelon tähystyksessä,Torakoskopisk lungbiopsi,91
WX210,Lonkkahermon puudutus,Lonkkahermon puudutus,Ishiadikusblockad,91
DM1CG,Kasvojen l.VKMT,Nenän sivuonteloiden ja kasvojen laaja magneettitutkimus,"Bihålor och ansiktsskelett, omfattande MR",91
ACB29,"Ääreishermon ompelu, muu/määrtön","Ääreishermon ompelu, muu tai määrittämätön hermo",Sutur av annan eller ospecificerad nerv,90
CBF99,Muu ektropiumin korjausleikkaus,Muu silmäluomen uloskääntymän korjausleikkaus,Annan operation för ektropium,90
FM1BG,Sydämen VKMT,Sydämen magneettitutkimus,"Hjärta, MR",90
FPJ02,"Tahdistingeneraattorin vaihto, VVI(R)","Tahdistingeneraattorin vaihto, VVI(R)",Byte av kammargenerator,90
GDA10,Koepalan otto keuhkoista leikkauksessa,Koepalan otto keuhkoista leikkauksessa,Lungbiopsi,90
H2045,,,,90
JFB44,Vasemmanpuolinen hemikolektomia LAP,Vasemmanpuolinen paksusuolen typistys vatsaontelon tähystyksessä,Laparoskopisk vänstersidig hemikolektomi,90
JWF00,G-I revisioleikk. suolianast. pett,Ruuansulatuselinleikkauksen uusintaleikkaus suoliliitoksen pettämisen vuoksi,Revision av suturinsufficiens i tarmen efter operationer på matsmältningsorganen,90
LEB10,Emättimen kasvaimen tai kudosvaurion poisto,Emättimen kasvaimen tai kudosvaurion poisto,Exstirpation av förändring i vagina,90
TK820,Peritoneaalidialyysi,Vatsakalvodialyysi,Peritonealdialys,90
ZZH20,"Omakudosluusiirre, laatua ei ilmoitettu","Omakudosluusiirre, laatua ei ilmoitettu",Autologt bentransplantat (UNS),90
WX214,Nilkan johtopuudutus,Nilkan johtopuudutus,Ankelblockad,90
6283,,,,90
FCA50,Nousevan aortan korjaus proteesilla,Nousevan aortan korjaus proteesilla,Resektion och rekonstruktion av aorta ascendens med kärlprotes,89
JDD00,"Mahalaukun poisto, liitos Roux-Y",Mahalaukun poisto ja Rouxin Y-liitos ruokatorvesta suoleen,"Gastrektomi med esofagojejunostomi, Roux-en-Y",89
PC7NT,Kohdun valt tukk synn.vuod pys,Kohdun valtimoiden suonensisäinen tukkiminen synnytyksen jälkeisen vuodon pysäyttämiseksi,"Livmoderblödning efter förlossning, intravaskulär ocklusion",89
SJC03,"Kiinnikkeiden määritys ja etsauskiinnitys, laaja","Kiinnikkeiden paikan määritys ja etsauskiinnitys, laaja","Definiering av fixeringsplatsen och fixering (etsning) av bracketter, omfattande",89
SJC40,"Kiinteän oikomiskojeen purkaminen, suppea","Kiinteän oikomiskojeen purkaminen, suppea","Avlägsnande av fast ortodontisk apparatur, begränsad",89
SJC50,Kiinteän oikomiskojeen purkaminen,Kiinteän oikomiskojeen purkaminen,Avlägsnande av fast ortodontisk apparatur,89
WB323,Prim.kasv vaat biovast liit.hoito,Primaarikasvaimen vaativa hoito biovasteenmuuntajilla liitännäishoitona,Krävande neoadjuvant behandling av primärtumör med biomodifierande medel,89
