ICD9,n_codes,freq_finngen_per,Finnish_name,possible_english_name
8064A,54,0.01351%,LANNERANGAN KOMPRESSIOMURTUMA JA SELKÄYDINVAURIO,Closed fracture of lumbar spine with spinal cord injury
8210B,54,0.01351%,"FRACTURA DIAPHYSEOS FEMORIS COMMINUTA,NON COMPLICA","Fracture of shaft or unspecified part of femur, closed"
8811A,54,0.01351%,"VULNUS CUBITI, ANTEBRACHII ET CARPI COMPLICATUM","Open wound of elbow, forearm, and wrist, complicated"
9895A,54,0.01351%,MYRKYTYS:ELÄIMEN TUOTTAMA MYRKYLLINEN AINE,Toxic effect of venom
0382A,53,0.01326%,SEPTICHAEMIA PNEUMOCOCCUS,Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
0578A,53,0.01326%,EXANTHEMA SUBITUM,Other specified viral exanthemata
1623A,53,0.01326%,"NEOPL MAL LOB SUPER PULMONIS,CA EPIDERMOIDES","Malignant neoplasm of upper lobe, bronchus or lung"
2851A,53,0.01326%,ANAEMIA POSTHAEMORRHAGICA ACUTA,Acute posthemorrhagic anemia
3419X,53,0.01326%,MORBI DEMYELISANTES SYSTEMATIS NERVORUM CENTR NUD,"Demyelinating disease of central nervous system, unspecified"
3783A,53,0.01326%,STRABISMUS VERTICALIS,Other and unspecified heterotropia
4959X,53,0.01326%,ALLERGITIS ALVEOLARIS NUD 4959Z,Unspecified allergic alveolitis and pneumonitis
5532B,53,0.01326%,HERNIA LINEAE ALBAE SINE OBSTRUCTIONE ET GANGRAENA,Ventral hernia without mention of obstruction or gangrene
6591A,53,0.01326%,EPÄONNISTUNUT LÄÄKKEELLÄ SUORITETTU SYNNYT KÄYN,Failed medical or unspecified induction of labor
7102A,53,0.01326%,SYNDROMA SICCUM PRIMARIUM,Sicca syndrome
7690A,53,0.01326%,VASTASYNTYNEEN IRD-OIREYHTYMÄ,Respiratory distress syndrome in newborn
8080A,53,0.01326%,"FRACTURA ACETABULI, NON COMPLICATA",Closed fracture of acetabulum
9720A,53,0.01326%,MYRKYTYS:BEETASALPAAJAT,Poisoning by cardiac rhythm regulators
4555A,52,0.01301%,HAEMORRHOIDES EXTERNI COMPLICATAE,External hemorrhoids with other complication
4785A,52,0.01301%,NODULAE PLICAE VOCALIS,Other diseases of vocal cords
5191A,52,0.01301%,MORBI TRACHEAE ET BRONCHI,"Other diseases of trachea and bronchus, not elsewhere classified"
5428X,52,0.01301%,APPENDICITIS ALIA DEFINITA,Other appendicitis
5650A,52,0.01301%,SPASMUS CANALIS ANALIS,Anal fissure
5829B,52,0.01301%,"GLOMERULONEPHRITIS CHRONICA NUD ,NEFR SDR",Chronic glomerulonephritis with unspecified pathological lesion in kidney
5989X,52,0.01301%,STRICTURA URETHRAE NUD,"Urethral stricture, unspecified"
6280B,52,0.01301%,STERILITAS ET INFERTILITAS ANOVULATORIA SEC,"Infertility, female, associated with anovulation"
7556D,52,0.01301%,HYPOPLASIA EXTREMITATIS INFERIORIS CONGENITA,"Other congenital anomalies of lower limb, including pelvic girdle"
7651A,52,0.01301%,ENNENAIK SYNT SYNTYMÄP 1000-1499G/RASK KESTO 26-30H,Other preterm infants
8160A,52,0.01301%,"FRACTURA DIGITI I MANUS, NON COMPLICATA",Closed fracture of one or more phalanges of hand
8245A,52,0.01301%,"FRACTURA BIMALLEOLARIS, COMPLICATA","Bimalleolar fracture, open"
8440A,52,0.01301%,DISTORSIO/DISTEN/RUPT.LIGAM.COLLATE.LATERALIS GENUS,Sprain of lateral collateral ligament of knee
2504A,51,0.01276%,"DIABETES MELLITUS CUM COMPLICATIONE OCULI ,TYP II",Diabetes with renal manifestations
3078A,51,0.01276%,KROONINEN KIPU-OIREYHTYMÄ,Pain disorders related to psychological factors
3501A,51,0.01276%,NEURALGIA TRIGEMINI,Trigeminal neuralgia
3543A,51,0.01276%,LAESIO NERVI RADIALIS,Lesion of radial nerve
3553A,51,0.01276%,LAESIO NERVI POPLITEAE LATERALIS,Lesion of lateral popliteal nerve
3671A,51,0.01276%,MYOPIA,Myopia
3718X,51,0.01276%,MUU MÄÄRITELTY SARVEISKALVOSAIRUS,Other corneal disorders
4276X,51,0.01276%,EXTRASYSTOLIA ALIA DEFINITA SEU NUD,Premature beats
4430A,51,0.01276%,SYNDROMA RAYNAUD,Raynaud's syndrome
4731A,51,0.01276%,SINUITIS FRONTALIS CHRONICA,Chronic frontal sinusitis
5694X,51,0.01276%,ALII MORBI RECTI ET ANI,Other specified disorders of rectum and anus
6580A,51,0.01276%,"OLIGOHYDRAMNION, RASKAUDEN AIKANA",Oligohydramnios
6609C,51,0.01276%,CERVIX RIGIDA,Unspecified obstructed labor
7268X,51,0.01276%,ENTESOPATHIA PERIPHERICA ALIA DEFINITA,Other peripheral enthesopathies
8501C,51,0.01276%,"COMMOTIO CEREBRI COMPLICATA,<1H KESTÄNYT TAJUTTOMUU",Concussion with brief loss of consciousness
0709X,50,0.01251%,HEPATITIS VIROSA NUD SINE COMATE HEPATICO,Unspecified viral hepatitis without mention of hepatic coma
2135A,50,0.01251%,NEOPLASMA BENIGNUM OSSIUM BREVIUM EXTREMITATIS SUPE,Benign neoplasm of short bones of upper limb
4319X,50,0.01251%,HAEMORRHAGIA INTRACEREBRALIS NUD,Intracerebral hemorrhage
5100A,50,0.01251%,EMPYEMA,Empyema with fistula
7168A,50,0.01251%,OLIGARTHRITIS NUD,Other specified arthropathy
7270C,50,0.01251%,TENOSYNOVITIS TARSI ET TIBIAE,Synovitis and tenosynovitis
7331A,50,0.01251%,FRACTURA SPONTANEA,Pathologic fracture
7877A,50,0.01251%,POIKKEAVA ULOSTE,Abnormal feces
8812A,50,0.01251%,"VULN CUBITI/ANTEBRACHII/CARPI+LAESIO TEND.,NON COMP","Open wound of elbow, forearm, and wrist, with tendon involvement"
0419X,49,0.01226%,INFECTIO BACTERICA NUD,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
3040A,49,0.01226%,ADDICTIO OPIUM ET DERIVATA EX IIS,Opioid type dependence
3455A,49,0.01226%,EPILEPSIA PARTIALIS SINE DISTURBATIONE CONSCIENTIAE,Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures
3652B,49,0.01226%,KROONINEN AHDASKULMAGLAUKOOMA,Primary angle-closure glaucoma
3883A,49,0.01226%,TINNITUS,Tinnitus
5587A,49,0.01226%,POLYPUS NONNEOPLASTICUS COLI,Other and unspecified noninfectious gastroenteritis and colitis
6411B,49,0.01226%,"PLACENTA PRAEVIA CUM HAEMORRHAGIA,SYNN PÄÄTT HOITOJ",Hemorrhage from placenta previa
7151B,49,0.01226%,"OSTEOARTHROSIS PRIMARIA, KYYNÄRNIVEL","Osteoarthrosis, localized, primary"
7470A,49,0.01226%,DUCTUS ARTERIOSUS PERSISTENS,Patent ductus arteriosus
8132B,49,0.01226%,FRACTURA ULNAE DIAPHYSARIA NON COMPLICATA,"Fracture of shaft of radius and ulna, closed"
1104A,48,0.01201%,DERMATOPHYTOSIS PEDIS,Dermatophytosis of foot
2014A,48,0.01201%,"MORBUS HODGKIN,""LYMPHOCYTIC PREDOMINANCE"",""NODULAR""","Hodgkin's disease, lymphocytic-histiocytic predominance"
3138X,48,0.01201%,MUU MÄÄRITTELTY EMOTIONAALISENA OIREENA ILM. HÄIRIÖ,Other or mixed emotional disturbances of childhood or adolescence
3229X,48,0.01201%,MENINGITIS NUD,"Meningitis, unspecified"
3897A,48,0.01201%,SURDITAS,"Deaf, nonspeaking, not elsewhere classifiable"
6082A,48,0.01201%,TORSIO TESTIS,Torsion of testis
6209X,48,0.01201%,"MORBI NONINFECT OVARII,TUBAE OVARII ET LIG LATI NUD","Unspecified noninflammatory disorder of ovary, fallopian tube, and broad ligament"
6468B,48,0.01201%,RASKAUDENAIKAINEN LIIKALIHAVUUS,Other specified complications of pregnancy
6602B,48,0.01201%,LANTIONALUEEN PEHMYTOSAPOIKKEAMIEN AIH SYNN PYS,Obstruction by abnormal pelvic soft tissues during labor
7092A,48,0.01201%,CICATRIX ET FIBROSIS CUTIS NUD,Scar conditions and fibrosis of skin
7182F,48,0.01201%,"DISLOCATIO SPONTANEA, POLVI",Pathological dislocation
8130B,48,0.01201%,FRACTURA CAPITULI RADII NON COMPLICATA,"Fracture of upper end of radius and ulna, closed"
9053A,48,0.01201%,SEQUELAE FRACTURAE  COLLI FEMORIS,Late effect of fracture of neck of femur
V629A,48,0.01201%,TARKEMMIN MÄÄRITTELEMÄTÖN PSYKOSOSIAALINEN ONGELMA,Unspecified psychosocial circumstance
2041A,47,0.01176%,LEUCHAEMIA LYMPHATICA   CHRONICA,"Lymphoid leukemia, chronic"
3123D,47,0.01176%,TOISTUVAT RAIVOKOHTAUKSET,"Disorders of impulse control, not elsewhere classified"
3656X,47,0.01176%,GLAUCOMA SECUNDARIA ALIA SEU NUD,Glaucoma associated with other ocular disorders
4560A,47,0.01176%,VARICES OESOPHAGI HAEMORRHAGICAE,Esophageal varices with bleeding
4738X,47,0.01176%,SINUITIS CHRONICA ALIA DEFINITA,Other chronic sinusitis
5718X,47,0.01176%,RASVAMAKSA (EI ALKOHOLIN AIHEUTTAMA),Other chronic nonalcoholic liver disease
6300A,47,0.01176%,MOLA HYDATIDOSA,Hydatidiform mole
6561A,47,0.01176%,"RHESUSISOIMMUNISATIO,RASKAUDEN AIKANA",Rhesus isoimmunization affecting management of mother
7385A,47,0.01176%,DEFORMITAS ACQUISATA DORSI ET COLUMNAE VERTEBRAE,Other acquired deformity of back or spine
7523A,47,0.01176%,ALIAE ANOMALIAE CONGENITAE UTERI,Other congenital anomalies of uterus
9988X,47,0.01176%,TOIMENPITEEN YHTEYDESSÄ SYNT MUUALLA LUOKITTEL KOMP,"Other specified complications of procedures, not elsewhere classified"
2191A,46,0.01151%,NEOPLASMA BENIGNUM CORPORIS UTERI,Benign neoplasm of corpus uteri
2397A,46,0.01151%,NEOPLASMA NON DEF GLAND ENDOCR ET PART AL SYST NERV,Neoplasm of unspecified nature of endocrine glands and other parts of nervous system
2508B,46,0.01151%,"DIABETES MELLITUS CUM COMPLICAT NON DESCR,TYP I",Diabetes with other specified manifestations
2951B,46,0.01151%,"HEBEFREENISTYYPPINEN SKITSOFRENIA,SUBKROONINEN",Disorganized type schizophrenia
3199A,46,0.01151%,"MUU ÄLYLLINEN KEHITYSVAMMAISUUS,EI KÄYTTÄYTYMIHÄIRI",Unspecified intellectual disabilities
3743A,46,0.01151%,PTOSIS,Ptosis of eyelid
3785A,46,0.01151%,STRABISMUS PARALYTICUS,Paralytic strabismus
4442A,46,0.01151%,EMBOLIA SEU TROMBOSIS  ARTERIAE EXTREMITATIS,Embolism and thrombosis of arteries of the extremities
4481A,46,0.01151%,NAEVUS NONNEOPLASTICUS,"Nevus, non-neoplastic"
6952A,46,0.01151%,ERYTHEMA NODOSUM ACUTUM,Erythema nodosum
7190F,46,0.01151%,"HYDROPS (HYDRARTHRON), POLVI",Effusion of joint
7339X,46,0.01151%,MB OSSIS ET CARTILAGINIS ALIA DEFINITA SEU NUD,Other and unspecified disorders of bone and cartilage
7500A,46,0.01151%,ANCHYLOGLOSSIA,Tongue tie
7889X,46,0.01151%,SYMPTOMATA ORGANORUM URINARIUM ALIA DEFINITA,Other symptoms involving urinary system
8911A,46,0.01151%,"VULNUS GENUS, CRURIS ET MALLEOLARIS COMPLICATUM","Open wound of knee, leg [except thigh], and ankle, complicated"
V590A,46,0.01151%,ELIMEN LUOVUTTAJA,Blood donors
2448X,45,0.01126%,HYPOTHYREOSIS ACQUISATA ALIA,Other specified acquired hypothyroidism
2564A,45,0.01126%,SYNDROMA STEIN - LEVENTHAL,Polycystic ovaries
5672A,45,0.01126%,PERITONITIS SUPPURATIVA DIFFUSA,Other suppurative peritonitis
5798A,45,0.01126%,RUOKA-AINEALLERGIAAN LIITTYVÄ MALABSORPTIO,Other specified intestinal malabsorption
6749X,45,0.01126%,COMPLICATIO IN PUERPERIO NUD,Unspecified complications of the puerperium
8010A,45,0.01126%,FRACTURA BASEOS CRANII NON COMPLICATA,Closed fracture of base of skull without mention of intracranial injury
8710A,45,0.01126%,LACERATIO OCULI SINE PROLAPSU TELAE INTRAOCULARIS,Ocular laceration without prolapse of intraocular tissue
9432A,45,0.01126%,"COMBUSTIO EXTREMITATIS SUPERIORIS GRADUS II, <9%","Blisters with epidermal loss due to burn [second degree] of upper limb, except wrist and hand"
9583A,45,0.01126%,INFECTIO VULNERIS POSTTRAUMATICA NUD,Posttraumatic wound infection not elsewhere classified
1869B,44,0.01101%,"NEOPL MAL TESTIS (SCROT),CA EMBR/TERATOCA/CHORIOCA",Malignant neoplasm of other and unspecified testis
1890X,44,0.01101%,"NEOPL MAL RENIS PELVI EXCEPTO,EI HIST VAHV","Malignant neoplasm of kidney, except pelvis"
2462A,44,0.01101%,KILPIRAUHASKYSTA,Cyst of thyroid
2959F,44,0.01101%,"ERILAISTUMATON SKITSOFRENIA,REMISSIOVAIHE",Unspecified schizophrenia
5070A,44,0.01101%,PNEUMONITIS ASPIRATORIA,Pneumonitis due to inhalation of food or vomitus
5563A,44,0.01101%,COLITIS ULCEROSA FULMINANS,Ulcerative (chronic) proctosigmoiditis
5751A,44,0.01101%,CHOLECYSTITIS ALIA,Other cholecystitis
6408X,44,0.01101%,HAEMORRHAGIA EX UTERO GRAVIDARUM ALIA DEFINITA,Other specified hemorrhage in early pregnancy
6484X,44,0.01101%,MORBUS MENTIS IN GRAVIDITATE,"Mental disorders complicating pregnancy, childbirth, or the puerperium"
6826A,44,0.01101%,CELLULITIS EXTREMITATIS INFERIORIS  PEDE EXCEPTO,"Cellulitis and abscess of leg, except foot"
7088B,44,0.01101%,URTICARIA RECURRENS NUD,Other specified urticaria
7328B,44,0.01101%,MUIDEN YLIMÄÄRÄISTEN LUIDEN AIHEUTTAMAT OIREET,Other specified forms of osteochondropathy
7534X,44,0.01101%,MALEFORMATIONES ALIAE URETERIS,Other specified anomalies of ureter
7561D,44,0.01101%,SPONDYLOLYSIS CONGENITA,"Anomalies of spine, congenital"
9950A,44,0.01101%,ANAFYLAKTINEN SHOKKI,Other anaphylactic reaction
0381A,43,0.01076%,SEPTICHAEMIA STAPHYLOCOCCUS AUREUS,Staphylococcal septicemia
1707A,43,0.01076%,"ALARAAJAN PITKIEN LUIDEN SYÖPÄ,OSTEOSARCOMA",Malignant neoplasm of long bones of lower limb
1801A,43,0.01076%,NEOPLASMA MALIGNUM EXOCERVICIS UTERI,Malignant neoplasm of exocervix
2429X,43,0.01076%,THYREOTOXICOSIS NUD,Thyrotoxicosis without mention of goiter or other cause
2859A,43,0.01076%,ANAEMIA SECUNDARIA,"Anemia, unspecified"
2870A,43,0.01076%,PURPURA HENOCH-SCHÖNLEIN,Allergic purpura
3018C,43,0.01076%,ESTYNYT PERSOONALLISUUS,Other personality disorders
4274A,43,0.01076%,FIBRILLATIO VENTRICULARIS,Ventricular fibrillation and flutter
4558X,43,0.01076%,HAEMORRHOIDES ALIA DEFINITA,Unspecified hemorrhoids with other complication
4960A,43,0.01076%,BRONCHO-OBSTRUCTIO CHRONICA NUD,"Chronic airway obstruction, not elsewhere classified"
5310A,43,0.01076%,"ULCUS VENTRIC CURVAT MINOR ET ANGULAE,KOMPLISOITUM",Acute gastric ulcer with hemorrhage
5813A,43,0.01076%,"""MINIMAL CHANGE GLOMERULONEPHRITIS""",Nephrotic syndrome with lesion of minimal change glomerulonephritis
5988X,43,0.01076%,STRICTURA URETHRAE ALIA DEFINITA,Other specified causes of urethral stricture
8362A,43,0.01076%,RUPTURA MENISCI SEU CARTILAGINIS ALIA,"Other tear of cartilage or meniscus of knee, current"
9248X,43,0.01076%,CONTUSIO LOCO MULTIPLICI,"Contusion of multiple sites, not elsewhere classified"
2163A,42,0.01051%,"KASVOJEN IHON BEN KASVAIN,NAEVUS PIGMENTOSUS",Benign neoplasm of skin of other and unspecified parts of face
2370A,42,0.01051%,NEOPL DEF AL HYPOPHYS ET DUCT CRANIOPHARYNGICI,Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct
3015A,42,0.01051%,HUOMIONHAKUINEN PERSOONALLISUUS,Histrionic personality disorder
3599X,42,0.01051%,MYOPATIA NUD,"Myopathy, unspecified"
3690A,42,0.01051%,AMAUROSIS,"Profound vision impairment, both eyes"
3724A,42,0.01051%,PTERYGIUM,Pterygium
4330A,42,0.01051%,OCCL/STENOS ART.VERTEBRAL. SEU BASILAR. CUM INFARCT,Occlusion and stenosis of basilar artery
4580A,42,0.01051%,HYPOTONIA ORTHOSTATICA,Orthostatic hypotension
4619X,42,0.01051%,SINUITIS ACUTA NUD,"Acute sinusitis, unspecified"
4784B,42,0.01051%,GRANULOMA LARYNGIS,Polyp of vocal cord or larynx
5228A,42,0.01051%,CYSTA RADICULARIS,Radicular cyst
5585A,42,0.01051%,ILEITIS TERMINALIS ACUTA,Other and unspecified noninfectious gastroenteritis and colitis
5770E,42,0.01051%,PANCREATITIS ACUTA ALCOHOLICAHAEMORRHAGICA,Acute pancreatitis
6391A,42,0.01051%,INFECTIO POST ABORTUM SEU GRAVIDITATEM ECTOPICAM,Delayed or excessive hemorrhage following abortion or ectopic and molar pregnancies
6558A,42,0.01051%,"MUU SIKIÖVAURIO, ÄIDIN TUTK/HOITO,RASKAUDEN AIKANA","Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother"
6662A,42,0.01051%,HAEMORRHAGIA POST PARTUM TARDA ET SECUNDARIA,Delayed and secondary postpartum hemorrhage
6939X,42,0.01051%,DERMARITIS E CAUSA INTERNA NUD,Dermatitis due to unspecified substance taken internally
7423A,42,0.01051%,HYDROCEPHALUS CONGENITUS,Congenital hydrocephalus
7454A,42,0.01051%,DEFECTUS SEPTI VENTRICULORUM NUD,Ventricular septal defect
7810A,42,0.01051%,MOTUS ABNORMIS INVOLUNTARIUS,Abnormal involuntary movements
V260A,42,0.01051%,HEDELMÖITTYMISKYVYN PALAUTTAMINEN,Tuboplasty or vasoplasty after previous sterilization
1800A,41,0.01026%,NEOPLASMA MALIGNUM ENDOCERVICIS UTERI,Malignant neoplasm of endocervix
2963D,41,0.01026%,"PSYCHOSIS BIPOLARIS DEPRESSIVA,VAIKEA-ASTEINEN","Major depressive disorder, recurrent episode"
3120A,41,0.01026%,KÄYTÖSHÄIRIÖ,"Undersocialized conduct disorder, aggressive type"
4210A,41,0.01026%,BACTERICAENDOCARDITIS SUBACUTA BACTERICA,Acute and subacute bacterial endocarditis
5260A,41,0.01026%,CYSTA EVOLUTIONIS DENTIUM,Developmental odontogenic cysts
5501B,41,0.01026%,"HERNIA INGUINALIS CUM OBSTRUCTIONE,LATERALIS (SCROT","Inguinal hernia, with obstruction, without mention of gangrene"
5965D,41,0.01026%,"""URGE INCONTINENCE""",Other functional disorders of bladder
6010A,41,0.01026%,PROSTATITIS ACUTA,Acute prostatitis
6145A,41,0.01026%,PELVEOPERITONITIS,"Acute or unspecified pelvic peritonitis, female"
6261A,41,0.01026%,HYPOMENORRHOEA,Scanty or infrequent menstruation
7235A,41,0.01026%,TORTICOLLIS,"Torticollis, unspecified"
8072A,41,0.01026%,FRACTURA STERNI,Closed fracture of sternum
0788X,40,0.01001%,VIROSES ALIA DEFINITA,Other specified diseases due to viruses and Chlamydiae
2551A,40,0.01001%,HYPERALDOSTERONISMUS (SYNDROMA CONN),Hyperaldosteronism
2962B,40,0.01001%,"PSYCHOSIS BIPOLARIS MANICA,LIEVÄASTEINEN","Major depressive disorder, single episode"
2964D,40,0.01001%,"PSYCHOSIS BIPOLARIS CIRCULARIS,VAIKEA-ASTEINEN","Bipolar I disorder, most recent episode (or current) manic"
3099X,40,0.01001%,MUUNLAISINA OIREINA ILMENEVÄ SOPEUTUMISHÄIRIÖ,Unspecified adjustment reaction
3152A,40,0.01001%,KIRJOITTAMISEN ERITYISVAIKEUS,Other specific developmental learning difficulties
3369X,40,0.01001%,MYELOPATHIA NUD,Unspecified disease of spinal cord
5198X,40,0.01001%,MORBI ALII ORGANORUM RESPIRATIONIS,"Other diseases of respiratory system, not elsewhere classified"
5321A,40,0.01001%,"ULCUS PYLORI ,KOMPLISOITUMATON",Acute duodenal ulcer with perforation
5512A,40,0.01001%,HERNIA VENTRALIS CUM GANGRAENA,Ventral hernia with gangrene
5532C,40,0.01001%,HERNIA VENTRALIS RECIDIVANS SINE OBSTRUCT ET GANGR,Ventral hernia without mention of obstruction or gangrene
5583A,40,0.01001%,ALLERGINEN SUOLISAIRAUS,Allergic gastroenteritis and colitis
5692A,40,0.01001%,STENOSIS ANI ET RECTI,Stenosis of rectum and anus
6049A,40,0.01001%,ORCHITIS SINE ABSCESSO,"Other orchitis, epididymitis, and epididymo-orchitis, without mention of abscess"
6820A,40,0.01001%,CELLULITIS FACIEI,Cellulitis and abscess of face
6900A,40,0.01001%,ECZEMA SEBORRHOICUM,Erythematosquamous dermatosis
7151C,40,0.01001%,"OSTEOARTHROSIS PRIMARIA, RANNE","Osteoarthrosis, localized, primary"
7151G,40,0.01001%,"OSTEOARTHROSIS PRIMARIA, NILKKA","Osteoarthrosis, localized, primary"
7191F,40,0.01001%,"HAEMARTHRON, POLVI",Hemarthrosis
7198F,40,0.01001%,"MB ARTICULI ALIA DEFINITA,",Other specified disorders of joint
7208A,40,0.01001%,SPONDYLITIS PURULENTA,Other inflammatory spondylopathies
7247A,40,0.01001%,MORBI COCCYGIS (NONTRAUMATICI),Disorders of coccyx
7248X,40,0.01001%,MUUT SELÄN SAIRAUDET,Other symptoms referable to back
7397A,40,0.01001%,"TUKI- JA LIIKUNTAELINTEN TOIM HÄIR,YLÄRAAJAT","Nonallopathic lesions, upper extremities"
7615A,40,0.01001%,"GEMINI , SEQUELA FOETUS",Multiple pregnancy affecting fetus or newborn
8054B,40,0.01001%,"LANNERANGAN ""BURST""-MURTUMA,EI SELKÄYDINVAURIOTA",Closed fracture of lumbar vertebra without mention of spinal cord injury
8408X,40,0.01001%,DISTORSIO/DISTENSIO/RUPTURA HUMEROSCAPULARIS ALIA,Sprains and strains of other specified sites of shoulder and upper arm
9230A,40,0.01001%,CONTUSIO REGIONIS SCAPULARIS ET BRACHII,Contusion of shoulder and upper arm
9678X,40,0.01001%,MYRKYTYS:MUUT MÄÄRITELLYT SEDATIIVAT JA UNILÄÄKK,Poisoning by other sedatives and hypnotics
9698X,40,0.01001%,MYRKYTYS:MUUT MÄÄRITELLYT PSYKOTROPPISET AINEET,Poisoning by other specified psychotropic agents
0120X,39,0.00976%,"TUBERCULOSIS PLEURAE, EPÄILTY",Tuberculous pleurisy
1990X,39,0.00976%,NEOPLASMA MALIGNUM LOCO PRIMARIO NON INDICATO,Disseminated malignant neoplasm without specification of site
2167A,39,0.00976%,"ALARAAJAN IHON BEN KASV,NAEVUS PIGMENTOSUS","Benign neoplasm of skin of lower limb, including hip"
2948X,39,0.00976%,SYNDROMA PSYCHOORGANICUM ALIA DEFINITA,Other persistent mental disorders due to conditions classified elsewhere
3075B,39,0.00976%,AHMIMISHÄIRIÖ,Other and unspecified disorders of eating
3101A,39,0.00976%,AIVOVAURION AIHEUTTAMA ELIMEL.PERSOONALLISUUSMUUTOS,Personality change due to conditions classified elsewhere
5183A,39,0.00976%,INFILTRATIO PULMONUM EOSINOPHILICA,Pulmonary eosinophilia
5226A,39,0.00976%,PERIODONTITIS APICALIS CHRONICA (OSTITIS PERIAPICAL,Chronic apical periodontitis
5308X,39,0.00976%,MUU RUOKATORVISAIRAUS,Other specified disorders of esophagus
5310B,39,0.00976%,"ULCUS VENTRIC CURVAT MINOR ET ANGULAE,VUOTAVA",Acute gastric ulcer with hemorrhage
5711A,39,0.00976%,HEPATITIS ALCOHOLICA,Acute alcoholic hepatitis
5771C,39,0.00976%,PANCREATITIS CHRONICA ALCOHOLICA RECIDIVANS,Chronic pancreatitis
6180B,39,0.00976%,CYSTOURETHROCELE,Prolapse of vaginal walls without mention of uterine prolapse
6549A,39,0.00976%,"ANOMAL ORG PELVICIS AL DEF SEU NUD,RASKAUDEN AIKANA","Other and unspecified abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, and the puerperium"
7292A,39,0.00976%,NEURALGIA NUD,"Neuralgia, neuritis, and radiculitis, unspecified"
7548A,39,0.00976%,PECTUS EXCAVATUM,Other specified nonteratogenic anomalies
8736A,39,0.00976%,VULNUS CAVI ORIS NON COMPLICATUM,"Open wound of internal structures of mouth, without mention of complication"
1101A,38,0.00951%,DERMATOPHYTOSIS UNGUIUM,Dermatophytosis of nail
2384A,38,0.00951%,POLYCYTHAEMIA VERA,Polycythemia vera
2554A,38,0.00951%,MORBUS ADDISON PRIMARIUS,Corticoadrenal insufficiency
2761A,38,0.00951%,HYPONATRAEMIA,Hyposmolality and/or hyponatremia
2951D,38,0.00951%,"HEBEFREENISTYYPPINEN SKITSOFRENIA,SUBKROON AKUUTTI",Disorganized type schizophrenia
3075A,38,0.00951%,TARKEMMIN MÄÄRITTELEMÄTÖN SYÖMISHÄIRIÖ,Other and unspecified disorders of eating
3652A,38,0.00951%,AKUUTTI AHDASKULMAGLAUKOOMA,Primary angle-closure glaucoma
3754A,38,0.00951%,DACRYOCYSTITIS CHRONICA,Chronic inflammation of lacrimal passages
4920A,38,0.00951%,EMPHYSEMA BULLOSUM,Emphysematous bleb
