ICD9	ICD9LYH	ICD9TXT
3410A	NEUROMYELITIS OPTICA	NEUROMYELITIS OPTICA
3411A	MORBUS SCHILDER	MORBUS SCHILDER
3418X	MB DEMYEL ALIA DEFIN	MYELINOSIS PONTIS CENTRALIS
3419X	MB DEMYEL NERV NUD	MORBI DEMYELISANTES SYSTEMATIS NERVORUM CENTR NUD
342	HEMIPLEGIA	HEMIPLEGIA
3429X	HEMIPLEGIA	HEMIPLEGIA
343	PARESIS CEREB INFANT	PARESIS CEREBRALIS INFANTILIS
3430A	CP DIPLEGIA SPASTICA	CP-OIREYHTYMÄ,DIPLEGIA SPASTICA
3431A	CP HEMIPLEGIA SPAST	CP-OIREYHTYMÄ,HEMIPLEGIA SPASTICA
3432A	CP TETRAPLEGIA SPAST	CP-OIREYHTYMÄ,TETRAPLEGIA SPASTICA
3432B	CP DYST TETRAPLEGICA	CP-OIREYHTYMÄ,DYSTONIA TETRAPLEGICA
3438A	CP ATAXIA	PARESIS CEREBRALIS INFANTILIS CUM ATAXIAM
3438B	CP ATHETOSIS	PARESIS CEREBRALIS INFANTILIS CUM ATHETOSIM
3438C	CP SEKAMUOTO	LAPSUUSIÄN AIVOHALVAUS (SEKAMUOTO)
3438D	CP TRANSITORIA	PARESIS CEREBRALIS INFANTILIS TRANSITORIA
3438X	CP ALIA	PARESIS CEREBRALIS INFANTILIS ALIA DEFINITA
3439X	CP NUD	PARESIS CEREBRALIS INFANTILIS NUD
344	PARALYSIS CEREB ALIA	PARALYSIS CEREBRALIS ALIA
3449X	PARALYSIS CEREB ALIA	PARALYSIS CEREBRALIS ALIA
345	EPILEPSIA	EPILEPSIA
3450A	EPILEP GENER NONCONV	EPILEPSIA GENERALISATA NONCONVULSIVA
3451A	EPILEP GENER CONVULS	EPILEPSIA GENERALISATA CONVULSIVA
3452A	ST EPILEPT PETIT MAL	STATUS EPILEPTICUS PETIT MAL (ABSENTIA)
3453A	ST EPILEPT GRAND MAL	STATUS EPILEPTICUS GRAND MAL
3454A	EPILEP GENER SECUNDA	EPILEPSIA GENERALISATA SECUNDARIA
3454B	EPILEP PSYCHOMOTORIC	TEMPORAALIEPILEPTINEN POISSAOLOKOHTAUS
3454X	AL DISTURB CONS EPIL	ALII DISTURBATIONES CONSCIENTAE EPILEPTICI
3455A	EPILEP PART SINE DIS	EPILEPSIA PARTIALIS SINE DISTURBATIONE CONSCIENTIAE
3456A	SPASMUS INFANTILIS	SPASMUS INFANTILIS
3456B	EPILEP MYOCL C.ASTAS	EPILEPSIA MYOCLONICA CUM ASTASIA
3457A	ST EPILEP PART PSYMO	STATUS EPILEPTICUS PARTIALIS PSYCHOMOTORICA
3457B	EPILEP PART CONTINUA	EPILEPSIA PARTIALIS CONTINUA
3457X	ST EPILEP PART ALIA	STATUS EPILEPTICUS PARTIALIS ALIA DEFINITA
3458X	EPILEPSIA ALIA DEFIN	EPILEPSIA ALIA DEFINITA
3459X	EPILEPSIA NUD	EPILEPSIA NUD
346	MIGREENI	HEMICRANIA
3460A	KLASSINEN MIGREENI	KLASSINEN MIGREENI
3461A	EI-KLASSINEN MIGREEN	"EI-KLASSINEN MIGREENI (""COMMON MIGRAINE"")"
3468X	MIGREENI ALIA DEFIN	MIGREENI ALIA DEFINITA
3469X	MIGREENI NUD	HEMICRANIA NUD
347	CATAPLEX/DISTUR SOMN	CATAPLEXIA ET DISTURBATIO SOMNI
3470A	CATAPLEXIA	CATAPLEXIA
3471A	NARCOLEPSIA	NARCOLEPSIA
3472A	OBSTRUKTIIV UNIAPNEA	OBSTRUKTIIVINEN UNIAPNEA
3478X	MUU ORGAN UNIHÄIRIÖ	MUUT ORGANISET UNIHÄIRIÖT
348	ALII MORBI CEREBRI	ALII MORBI CEREBRI
3480A	CYSTA CEREBRALIS	CYSTA CEREBRALIS
3481A	LAESIO CEREB ANOXICA	LAESIO CEREBRI ANOXICA
3482A	HYPERT INTRACRA BENI	HYPERTENSIO INTRACRANIALIS BENIGNA
3483X	ENCEPHALOPATHIA NUD	ENCEPHALOPATHIA NUD
3484A	COMPRES CEREBRI/TRUN	COMPRESSIO CEREBRI ET TRUNCI CEREBRI
3485A	OEDEMA CEREBRI	OEDEMA CEREBRI
3488X	MB CEREBR ALIA DEFIN	MORBI CEREBRI ALIA DEFINITA
3489X	MB CEREBRI NUD	MORBI CEREBRI NUD
349	MB SYST NERV ALII	MORBI SYSTEMATIS NERVORUM ALII ET NON DEFINITA
3490A	LUMBAALIPUNK PÄÄNSÄR	LUMBAALIPUNKTION AIHEUTTAMA PÄÄNSÄRKY TAI MUU OIRE
3491A	LAIT EI-MEK HERM KOM	KIRURG ASET LAITTEEN AIH EI-MEK HERMOSTON KOMPLIK
3492A	MORBI MENINGUM NUD	MORBI MENINGUM NUD
3498A	LIKVORVUOTO	LIKVORVUOTO, EI LIITY MUUALLA LUOKITELTUUN TAUTIIN
3498B	ENCEPHALOPATHIA TOXI	ENCEPHALOPATHIA TOXICA
3498X	MB SYST NERV AL DEF	MORBI SYSTEMATIS NERVORUM ALIA DEFINITA
3499X	MB SYST NERV NUD	MORBI SYSTEMATIS NERVORUM NUD
350	MB NERVI TRIGEMINI	MORBI NERVI TRIGEMINI
3501A	NEURALGIA TRIGEMINI	NEURALGIA TRIGEMINI
3502A	DOLORES FACIEI ATYP	DOLORES FACIEI ATYPICI
3508X	MB NERV TRIGEM ALIA	MORBI NERVI TRIGEMINI ALII DEFINITA
3509X	MB NERV TRIGEM NUD	MORBUS NERVI TRIGEMINI NUD
351	MB NERVI FACIALIS	MORBI NERVI FACIALIS
3510A	PARESIS BELL	PARESIS BELL
3511A	GANGLIONITIS GENICUL	GANGLIONITIS GENICULATA
3518X	MB NERV FACIAL ALIA	MORBI NERVI FACIALIS ALIA DEFINITA
3519X	MB NERV FACIAL NUD	MORBUS NERVI FACIALIS NUD
352	MB NERV CRANIALES AL	MORBI NERVI CRANIALES ALII
3520A	MB NERVI OLFACTORII	MORBUS NERVI OLFACTORII
3521A	NEURALGIA GLOSSOPHAR	NEURALGIA GLOSSOPHARYNGEI
3522A	MB AL NERV GLOSSOPHA	MORBUS ALII NERVI GLOSSOPHARYNGEI
3523A	MORBUS NERVI VAGI	MORBUS NERVI VAGI
3524A	MB NERVI ACCESSORII	MORBUS NERVI ACCESSORII
3525A	MB NERVI HYPOGLOSSI	MORBUS NERVI HYPOGLOSSI
3526A	MB NERV CRAN MULTIPL	MORBUS NERVI CRANIALES MULTIPLICI
3529X	MB NERV CRANIAL NUD	MORBUS NERVI CRANIALIS NUD
353	MB RADIC PLEXUS NERV	MORBI RADICULARES ET PLEXUS NERVORUM
3530A	LAESIO PLEX BRACHIAL	LAESIO PLEXUS BRACHIALIS
3531A	LAESIO PLEX LUMBOSAC	LAESIO PLEXUS LUMOSACRALIS
3532A	RADICULOPAT CERVICAL	RADICULOPATHIA CERVICALIS
3533A	RADICULOPAT THORACAL	RADICULOPATHIA THORACICA
3534A	RADICULOPAT LUMBOSAC	RADICULOPATHIA LUMBOSACRALIS
3534B	SYNDR CAUDAE EQUINAE	SYNDROMA CAUDAE EQUINAE
3535A	AMYOTROPHIA NEURALGI	AMYOTROPHIA NEURALGICA
3536A	FANTOMIOIREYHTYMÄ	FANTOMIOIREYHTYMÄ
3538X	AL MB RADIC PLEX NER	MORBI RADICULARES ET PLEXUS NERVORUM ALIA DEFINITA
3539X	MB RADI PLEX NER NUD	MORBI RADICULARES ET PLEXUS NERVORUM NUD
354	YLÄRAAJAMONONEUROPAT	MONONEUROPATHIA EXTREMIT SUPER ET MONONEUROP MULTIP
3540A	SYNDR CANALIS CARPI	SYNDROMA CANALIS CARPI
3541A	LAESIO NERV MEDIA AL	LAESIO NERVI MEDIANI ALIA
3542A	LAESIO NERVI ULNARIS	LAESIO NERVI ULNARIS
3543A	LAESIO NERV RADIALIS	LAESIO NERVI RADIALIS
3544A	CAUSALGIA	CAUSALGIA
3545A	MONONEUROPAT MULTIPL	MONONEUROPATHIA MULTIPLEX
3548X	MUU YLÄRAAJAMONONEUR	MUU YLÄRAAJAN MONONEUROPATIA
3549X	YLÄRAAJAMONONEUR NUD	MÄÄRITTELEMÄTÖN YLÄRAAJAN MONONEUROPATIA
355	ALARAAJAMONONEUROPAT	MONONEUROPATHIA EXTREMITATIS INFERIORIS
3550A	LAESIO NERVI ISCHIAD	LAESIO NERVI ISCHIADICI
3551A	MERALGIA PARAESTHETI	MERALGIA PARAESTHETICA
3552A	LAESIO NER FEMOR ALI	LAESIO NERVI FEMORALIS ALIA
3553A	LAESIO NER POPLI LAT	LAESIO NERVI POPLITEAE LATERALIS
3554A	LAESIO NER POPLI MED	LAESIO NERVI POPLITEAE MEDIALIS
3555A	SYNDR CANALIS TARSAL	SYNDROMA CANALIS TARSALIS
3556A	LAESIO NERVI PLANTAR	LAESIO NERVI PLANTARIS
3557X	MUU ALARAAJAMONONEUR	MUU ALARAAJAN MONONEROPATIA
3558X	ALARAAJAMONONEUR NUD	ALARAAJAN MONONEUROPATIA NUD
3559X	MONONEUR LOC NON DEF	MONONEUROPATHIA LOCO NON DEFINITO
356	HERED/IDIOP NEUROPAT	POLYNEUROPATHIA NERV PERIPH HEREDITARIA ET IDIOP
3560A	NEUROP HYPERTR INTER	NEUROPATHIA HYPERTROPHICA INTERSTITIALIS
3561A	ATROPHIA MUSC PERONE	ATROPHIA MUSCULI PERONEI
3562A	NEUROP SENSORI HERED	NEUROPATHIA SENSORICA HEREDITARIA
3563A	HEREDOPA ATACT POLYN	HEREDOPATHIA ATACTICA POLYNEURITIFORMIS
3564A	POLYNEURO IDIOP PROG	POLYNEUROPATHIA IDIOPATHICA PROGRESSIVA
3568X	NEUROP IDIOP ALIA DE	MUU IDIOPAATTINEN PERIFEERINEN NEUROPATIA
3569X	NEUROPAT IDIOP  NUD	MUU MÄÄRITTELEMÄTÖN IDIOPAATTINEN PERIF NEUROPATIA
357	POLYNEUROPATHIA ALIA	POLYNEUROPATHIA ALIA
3570A	POLYNEUR INFLAM ACUT	POLYNEUROPATHIA INFLAMMATORIA ACUTA
3575A	POLYNEUROPAT ALCOHOL	POLYNEUROPATHIA ALCOHOLICA
3576A	POLYNEUROP MEDICAMEN	POLYNEUROPATHIA E MEDICAMENTORUM
3577A	POLYNEUROPAT TOXICA	POLYNEUROPATHIA TOXICA
3578A	POLYNEUROPAT SECUNDA	POLYNEUROPATHIA SECUNDARIA
3578X	POLYNEUROPA AL DEFIN	POLYNEUROPATHIA ALIA DEFINITA
3579X	POLYNEUROPATHIA NUD	POLYNEUROPATHIA NUD
358	MORBI MYONEURONALES	MORBI MYONEURONALES
3580A	MYASTHENIA GRAVIS	MYASTHENIA GRAVIS
3582A	SYNDR MYASTHEN TOXIC	SYNDROMA MYASTHENICUM TOXICUM
3588A	SYNDR MYASTHE SECUND	SYNDROMA MYASTHENICUM SECUNDARIUM
3588X	MB MYONEURONALES ALI	MORBI MYONEURONALES ALIA DEFINITA
3589X	MB MYONEURONALES NUD	MORBI MYONEURONALES NUD
359	MYOPATHIA ALIA	DYSTROPHIA MUSCULORUM ET MYOPATHIA ALIA
3590A	MYOPATHIA CONGENITA	MYOPATHIA CONGENITA
3591A	DYSTROPH MUSC HERED	DYSTROPHIA MUSCULORUM PROGRESSIVA HEREDITARIA
3592A	MORBI MYOTONICI	MORBI MYOTONICI
3593A	PARALYS PERIOD FAMIL	PARALYSIS PERIODICA FAMILIARIS
3594A	MYOPATHIA TOXICA	MYOPATHIA TOXICA
3594B	MYOPATHIA SECUNDARIA	MYOPATHIA SECUNDARIA
3598X	MYOPATHIA ALIA DEFIN	MYOPATHIA ALIA DEFINITA
3599X	MYOPATHIA NUD	MYOPATIA NUD
360	MORBI BULBI OCULI	MORBI BULBI OCULI
3600A	ENDOPHTALMIT PURULEN	ENDOPHTALMITIS PURULENTA
3601A	OPHTALMIA SYMPATICA	OPHTALMIA SYMPATICA
3601B	ENDOPHTALMIT PARASIT	ENDOPHTALMITIS PARASITICA
3601X	ENDOPHTALMITIS ALIA	ENDOPHTALMITIS ALIA
3602A	MYOPIA MALIGNA	MYOPIA MALIGNA
3602X	DEGENER AL BULBI OCU	DEGENERATIO ALIA BULBI OCULI
3603A	HYPOTONIA OCULI	HYPOTONIA OCULI
3604A	PHTISIS BULBI	PHTISIS BULBI
3605A	SILMÄ VIERASES MAGN	CORPUS ALIENUM INVETERATUM INTRAOCULARE,MAGNEETTIN.
3606A	SIL VIERASES EI MAGN	CORPUS ALIENUM INVETERATUM INTRAOCULARE,EI MAGNEET
3608A	ANOPHTALMIA ARTEFACT	ANOPHTALMIA ARTEFACTA
3608X	MB BULB OCUL AL DEFI	MORBUS BULBUS OCULI ALIA DEFINITA
3609X	MB BULBUS OCULI NUD	MORBUS BULBUS OCULI NUD
361	ABLATIO/RUPT RETINAE	ABLATIO (AMOTIO) ET RUPTURA RETINAE
3610A	ABLATIO RHEGMATOGENE	ABLATIO (AMOTIO) RHEGMATOGENEA
3611A	RETINOSCHISIS	RETINOSCHISIS
3613A	RUPT RETIN SINE ABLA	RUPTURA RETINAE SINE ABLATIONE
3618X	ABLATIO RETIN AL DEF	ABLATIO ET RUPTURA RETINAE ALIA DEFINITA
3619X	ABLAT/RUPT RETIN NUD	ABLATIO ET RUPTURA RETINAE NUD
362	ALII MORBI RETINAE	ALII MORBI RETINAE
3620A	RETINOP DIAB EI PROL	RETINOPATHIA DIABETICA NON PROLIFERATIVA
3620B	RETINOP DIAB PROLIFE	RETINOPATHIA DIABETICA PROLIFERATIVA
3621A	RETINOP NON PROLIFER	RETINOPATHIA NON PROLIFERATIVA  (NON DIABETICA)
3622A	RETINOPAT PRAEMATURI	FIBROPLASIA RETROLENTALIS/RETINOPATHIA PRAEMATURIT
3622X	RETINOPAT PROLIF ALI	RETINOPATHIA PROLIFERATIVA ALIA
3623A	OCCL A.CENTR RETINAE	OCCLUSIO ARTERIAE CENTRALIS RETINAE
3623B	OCCL RAMI A.CENTR RE	OCCLUSIO RAMI ARTERIAE CENTRALIS RETINAE
3623C	OCCL VENAE CENTR RET	OCCLUSIO VENAE CENTRALIS RETINAE
3623D	OCCL RAMI V.CENTR RE	OCCLUSIO RAMI VENAE CENTRALIS RETINAE
3624A	RETINOPAT CENTR SERO	RETINOPATHIA CENTRALIS SEROSA
3624B	VERKKOK PIG.EPIT IRT	VERKKOKALVON PIGMENTTIEPITEELIN IRTAUMA
3625A	DEG MACULAE NONEXSUD	DEGENERATIO MACULAE NONEXSUDATIVA
3625B	DEG MACULAE EXSUDATI	DEGENERATIO MACULAE EXSUDATIVA
3625C	DEG MACULAE CYSTOIDE	DEGENERATIO MACULAE CYSTOIDEA
3625D	CYSTA MACULAE	"CYSTA MACULAE (""MACULAR HOLE"")"
3625E	MACULOPATHIA TOXICA	MACULOPATHIA TOXICA
3625F	FIBROSIS PRAERETINAL	FIBROSIS PRAERETINALIS
3626A	DEG RETINAE PERIPHER	DEGENERATIO RETINAE PERIPHERICA
3627A	DYSTROF RETIN PIGMEN	DYSTROPHIA RETINAE PIGMENTOSA
3627X	DYSTR RETIN HERED AL	DYSTROPHIA RETINAE HEREDITARIA ALIA
3628A	HAEMORRHAGIA RETINAE	HAEMORRHAGIA RETINAE
3628X	MB RETINAE ALIA DEFI	MORBUS RETINAE ALIA DEFINITA
3629X	MORBUS RETINAE NUD	MORBUS RETINAE NUD
363	MB CHORIORET/CHORIOI	MORBUS CHORIORETINALIS ET CHORIOIDAE
3630A	CHORIORETINI FOCALIS	CHORIORETINITIS FOCALIS
3631A	CHORIORETIN DISSEMIN	CHORIORETINITIS DISSEMINATA
3632A	CHORIORETIN AL DEFIN	CHORIORETINITIS ALIA DEFINITA
3633A	CICATRIX CHORIORETIN	CICATRIX CHORIORETINALIS
3634A	DEGENERAT CHORIOIDAE	DEGENERATIO CHORIOIDAE
3635A	DYSTROF CHORIO HERED	DYSTROPHIA CHORIOIDAE HEREDITARIA
3636A	HAEMORRH/RUPT CHORIO	HAEMORRHAGIA ET RUPTURA CHORIOIDAE
3637A	ABLATIO CHORIOIDAE	ABLATIO CHORIOIDAE
3638X	MB CHORIORET AL DEFI	MORBUS CHORIORETINALIS ET CHRIOIDAE ALIA DEFINITA
3639X	MB CHORIORETINA NUD	MORBUS CHORIORETINALIS ET CHORIOIDAE NUD
364	MB IRIDIS/CORP CILIA	MORBI IRIDIS ET CORPORIS CILIARIS
3640A	IRIDOCYCLITIS ACUTA	IRIDOCYCLITIS ACUTA
3641A	IRIDOCYCLITIS CHRON	IRIDOCYCLITIS CHRONICA
3642X	IRIDOCYCLITIS ALIA	IRIDOCYCLITIS ALIA
3643X	IRIDOCYCLITIS NUD	IRIDOCYCLITIS NUD
3644A	MB VASCULARES IRIDIS	MORBI VASCULARES IRIDIS ET CORPORIS CILIARIS
3645A	DEG IRIDIS/CORP CIL	DEGENERATIO IRIDIS ET CORPORIS CILIARIS
3646A	CYSTA IRIDI/CORP CIL	CYSTA IRIDIS, CORPORIS CILIARIS/CAMERAE ANTERIORIS
3647A	ADHES/DISRUP IRIDIS	ADHESIO SEU DISRUPTIO IRIDIS ET CORPORIS CILIARIS
3648X	MB IRID/CORP CIL AL	MORBI IRIDIS ET CORPORIS CILIARIS ALIA DEFINITA
3649X	MB IRID/CORP CIL NUD	MORBI IRIDIS ET CORPORIS CILIARIS NUD
365	GLAUCOMA	GLAUCOMA
3650A	SUSP GLAUC, AVOKULMA	SUSPICIO GLAUCOMATIS (AVOKULMA)
3650B	SUSP GLAUC,AHDASKULM	SUSPICIO GLAUCOMATIS (AHDASKULMA)
3651A	GLAUC SIMPL,AVOKULMA	GLAUCOMA SIMPLEX (AVOKULMA)
3651B	GLAUC CAPSUL,AVOKULM	GLAUCOMA CAPSULARE (AVOKULMA)
3651C	MATALAPAINEGLAUKOOMA	MATALAPAINEGLAUKOOMA
3651D	GLAUCOMA PIGMENTOSUM	GLAUCOMA PIGMENTOSUM
3651E	GLAUC INFANT/JUVENIL	GLAUCOMA INFANTILE SEU JUVENILE
3651X	MUU AVOKULMAGLAUKOOM	AVOKULMAGLAUKOOMA MUU
3652A	AHDASKULM GLAUC ACUT	AKUUTTI AHDASKULMAGLAUKOOMA
3652B	AHDASKULM GLAUC CRON	KROONINEN AHDASKULMAGLAUKOOMA
3652X	MUU AHDASKULMAGLAUKO	MUU AHDASKULMAGLAUKOOMA
3653A	KORTIKOSTER GLAUKOOM	KORTIKOSTEROIDIEN AIHEUTTAMA GLAUKOOMA
3654A	GLAUC CUM MB GONGENI	SYNNYNNÄISIIN/SYSTEEMISAIRAUKSIIN LIITTYVÄ GLAUKOOM
3655A	MYKIÖPERÄINEN GLAUKO	MYKIÖPERÄINEN GLAUKOOMA
3656A	PUPILLARIBLOK GLAUKO	PUPILLARIBLOKIN TAI SEKLUUSION AIHEUTTAMA GLAUKOOMA
3656B	SYNDR POSSNER-SCHOSS	GLAUKOMASYKLIITTINEN KRIISI,SYNDR POSSNER-SCHOSSMAN
3656C	GLAUCOMA NEOVASCULAR	GLAUCOMA NEOVASCULARE
3656D	KASVAINTEN AIH GLAUK	KASVAINTEN AIHEUTTAMA GLAUKOOMA
3656E	GLAUCOMA POSTTRAUMAT	GLAUCOMA POSTTRAUMATICUM
3656F	GLAUCOMA POST UVEITI	GLAUCOMA POST UVEITIDEM
3656X	GLAUC SECUND ALI/NUD	GLAUCOMA SECUNDARIA ALIA SEU NUD
3658X	GLAUCOMA ALIUD	GLAUCOMA ALIUD
3659X	GLAUCOMA NUD	GLAUCOMA NUD
366	CATARACTA	CATARACTA
3660A	CATARACTA INFANTILIS	CATARACTA INFANTILIS
3660B	CATARACTA JUVENILIS	CATARACTA JUVENILIS
3660C	CATARACTA PRAESENILI	CATARACTA PRAESENILIS
3661A	CATARACTA SENILIS	CATARACTA SENILIS
3662A	CATARACTA TRAUMATICA	CATARACTA TRAUMATICA
3663A	CATARACTA COMPLICATA	CATARACTA COMPLICATA
3664A	CATARACTA DIABETICA	CATARACTA DIABETICA
3664B	CATARAC CUM MB ALIUD	MUUN SAIRAUDEN YHTEYDESSÄ ESIINTYVÄ KAIHI
3664C	CATARACTA TOXICA	CATARACTA TOXICA
3665A	CATARACTA SECUNDARIA	CATARACTA SECUNDARIA
3668X	CATARACTA ALIA DEFIN	CATARACTA ALIA DEFINITA
3669X	CATARACTA NUD	CATARACTA NUD
367	TAITTOVIRHEET	VITIA REFRACTIONIS ET ACCOMODATIONIS
3670A	HYPEROPIA	HYPEROPIA
3671A	MYOPIA	MYOPIA
3672A	ASTIGMATISMUS	ASTIGMATISMUS
3673A	ANISOMETROP/ANISEIKO	ANISOMETROPIA ET ANISEIKONIA
3674A	PRESBYOPIA	PRESBYOPIA
3675A	VITIA ACCOMMODATION	VITIA ACCOMMODATIONIS
3678X	MUUT TAITTOVIRHEET	MUUT TAITTOVIRHEET
3679X	TAITTOVIRHE NUD	VITIA REFRACTIONIS NUD
368	NÄÖN HÄIRIÖT	NÄÖN HÄIRIÖT
3680A	AMBLYOPIA EX ANOPSIA	AMBLYOPIA EX ANOPSIA
3681A	SUBJEKTIIV NÄÖN HÄIR	SUBJEKTIIVISET NÄÖN HÄIRIÖT
3682A	DIPLOPIA	DIPLOPIA
3683A	MUUT YHTEISNÄÖN HÄIR	MUUT SILMIEN YHTEISNÄÖN HÄIRIÖT
3684A	HOMONYYM NÄKÖKENTTÄP	HOMONYYMIT NÄKÖKENTTÄPUUTOKSET
3684B	HETERONYYM NÄKÖKPUUT	HETERONYYMIT NÄKÖKENTTÄPUUTOKSET
3684X	MUUT NÄKÖKENTTÄPUUT	NÄKÖKENTTÄPUUTOS,MUU KUIN HOMO- TAI HETERONYYMINEN
3685A	VÄRINÄÖN HÄIRIÖT	VÄRINÄÖN HÄIRIÖT
3686A	HÄMÄRÄSOKEUS	HÄMÄRÄSOKEUS
3688X	MUU NÄÖN HÄIRIÖ	MUU NÄÖN HÄIRIÖ
3689X	NÄÖN HÄIRIÖ NUD	NÄÖN HÄIRIÖ NUD
369	SOKEUS/NÄÖN HEIKKOUS	SOKEUS JA NÄÖN HEIKKOUS
3690A	SOKEUS	AMAUROSIS
3698X	MUU NÄÖNHEIKKOUS	MÄÄRITELTY NÄÖNHEIKKOUS (MUU KUIN SOKEUS)
3699X	NÄÖNHEIKKOUS NUD	TARKEMMIN MÄÄRITTELEMÄTÖN NÄÖNHEIKKOUS
370	KERATOPATHIA	KERATOPATHIA
3700A	ULCUS CORNEAE	ULCUS CORNAE (MARGINALE, SERPENS, PERFORANS)
3702A	KERATITIS SUPERFICIA	KERATITIS SUPERFICIALIS  (SARVEISKALVOSSA)
3703A	KERATOCONJUNCTIVITIS	KERATOCONJUNCTIVITIS
3705A	KERATITIS INTERSTITI	KERATITIS INTERSTITIALIS ET PROFUNDA
3706A	NEOVASCULARIS CORNEA	NEOVASCULARISATIO CORNEAE
3708X	KERATOPATHIA AL DEFI	KERATOPATHIA ALIA DEFINITA
3709X	KERATAOPATHIA NUD	KERATOPATHIA NUD
371	ALII MORBI CORNEAE	OPACITAS CORNEAE ET ALII MORBI CORNEAE
3710A	SARVEISKALVOARPI	CICATRICES ET LEUCOMAE CORNEAE
3711A	PIGMENTATIO CORNEAE	PIGMENTATIO CORNEAE
3712A	OEDEMA CORNEAE	OEDEMA CORNEAE
3714A	DEGENERATIO CORNEAE	DEGENERATIO CORNEAE
3715A	DYSTROF HERED CORNEA	EROSIO CORNEAE RECURRENS
3716A	KERATOCONUS	KERATOCONUS
3717X	DEFORM CORNEAE ALIAE	DEFORMITAS CORNEAE ALIAE
3718X	MORBUS CORNEAE ALIA	MUU MÄÄRITELTY SARVEISKALVOSAIRUS
3719X	MORBUS CORNEAE NUD	MORBUS CORNEAE NUD
372	MORBI CONJUNCTIVAE	MORBI CONJUNCTIVAE
3720A	CONJUNCTIVITIS ACUTA	CONJUNCTIVITIS ACUTA
3721A	CONJUNCTIVITIS CHRON	CONJUNCTIVITIS CHRONICA
3723A	CONJUNCTIVITIS ALIA	CONJUNCTIVITIS ALIA
3724A	PTERYGIUM	PTERYGIUM
3725A	DEGEN CONJUNCTIVAE	DEGENERATIO CONJUNCTIVAE
3726A	CICATRIX CONJUNCTIVA	CICATRIX CONJUNCTIVAE
3727A	MB VASCUL/CYSTA CONJ	MORBI VASCULARES ET CYSTAE CONJUNCTIVAE
3728X	MB CONJUNCTIVAE ALIA	MORBI CONJUNCTIVAE ALIA DEFINITA
3729X	MB CONJUNCTIVAE NUD	MORBUS CONJUNCTIVAE NUD
373	BLEPHARITIS	BLEPHARITIS
3730A	BLEPHARITIS	BLEPHARITIS ET BLEPHAROCONJUNCTIVITIS
3731A	HORDEOLUM	HORDEOLUM
3732A	CHALAZION	CHALAZION
3733A	DERMAT NONINF PALPEB	DERMATOSIS NONINFECTIOSA PALPEBRAE
3738X	BLEPHARITIS  AL DEFI	BLEPHARITIS ALIA DEFINITA
3739X	BLEPHARITIS NUD	BLEPHARITIS NUD
374	MORBI PALPEBRAE ALII	MORBI PALPEBRAE ALII
3740A	ENTROPIUM	ENTROPIUM
3741A	ECTROPIUM	ECTROPIUM
3742A	LAGOPHTALMUS	LAGOPHTALMUS
3743A	PTOSIS	PTOSIS
3743B	BLEPHAROCHALASIS	BLEPHAROCHALASIS ET DERMATOCHALASIS
3744A	DYSFUNCT PALPEBR ALI	DYSFUNCTIO PALPEBRAE ALII
3745A	DEG PALPEBR/PERIOCUL	DEGENERATIO PALPEBRAE ET REGIONIS PERIOCULARIS
3748X	MB PALPEBRAE AL DEFI	MORBUS PALPEBRAE ALIA DEFINITA
3749X	MB PALPEBRAE NUD	MORBUS PALPEBRAE NUD
375	MB SYSTEMATIS LACRIM	MORBI SYSTEMATIS LACRIMALIS
3750A	DACRYOADENITIS	DACRYOADENITIS
3751X	MB GLANDUL LACRIM AL	ALII MORBI GLANDULAE LACRIMALIS
3752A	EPIPHORA	EPIPHORA
3753A	DACRYOCYSTITIS ACUTA	DACRYOCYSTITIS ACUTA
3754A	DACRYOCYSTITIS CHRON	DACRYOCYSTITIS CHRONICA
3755A	INSUF CANALIS LACRIM	STENOSIS ET INSUFFICIENTIA CANALIS LACRIMALIS
3756X	MB CANALIS LACRIM AL	ALII MORBI CANALIS LACRIMALIS
3758X	MB SYSTEM LACRIM ALI	MORBI SYSTEMATIS LACRIMALIS ALII DEFINITI
3759X	MB SYSTEM LACRIM NUD	MORBUS SYSTEMATIS LACRIMALIS NUD
376	MORBI ORBITAE	MORBI ORBITAE
3760A	INFLAM ORBITAE ACUTA	INFLAMMATIO ORBITAE ACUTA
3761A	INFLAM ORBITAE CHRON	INFLAMMATIO ORBITAE CHRONICA
3762A	EXOPHTALMUS ENDOCRIN	EXOPHTALMUS E
3763A	EXOPHTALM NONENDOCRI	EXOPHTALMUS NONENDOCRINUS
3764A	DEFORMITAS ORBITAE	DEFORMITAS ORBITAE
3765A	ENOPHTALMUS	ENOPHTALMUS
3766A	CORP AL RETROBULBARE	CORPUS ALIENUM RETROBULBA
3768X	MB ORBITAE ALIA DEFI	MORBUS ORBITAE ALI
3769X	MORBUS ORBITAE NUD	MORBUS ORBI
377	MB NERV OPTIC/RADIAT	MORBI NERVI OPTICI ET RADIATIONUM OPTICARUM
3770A	STASIS PAPILLAE	STASIS PAPILLAE
3771A	ATROFIA NERVI OPTICI	ATROPHIA NERVI OPTICI
3772A	MB PAPILLAE OPTIC AL	ALII MORBI PAPILLAE OPTICI
3773A	PAPILLITIS OPTICA	PAPILLITIS OPTICA
3773B	NEURITIS RETROBULBAR	NEURITIS RETROBULBARIS
3773X	NEURITIS OPTICA  NUD	NEURITIS OPTICA ALIA SEU NUD
3774A	ALII MB NERVI OPTICI	ALII MORBI NERVI OPTICI
