ICD9,ICD9LYH,ICD9TXT,ICD9CM,concept_name,ICD9CD_match_level,code_matched_to,Wolfbane_name,match_type,suspected_mistake
0788X,VIROSES ALIA DEFINIT,VIROSES ALIA DEFINITA,078.8,Other specified diseases due to viruses and Chlamydiae,4_digit_level,078.8,"Other diseases due to viruses and Chlamydiae, Other specified diseases due to viruses and Chlamydiae",parent_match,0
079,INFECT VIR ALTER GEN,VIRUSINF JOIDEN AIHEUTTAM.TILAT LUOKITELTU MUUALLA,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,4_digit_level,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,full_match,0
0790A,ADENOVIRUSINFEKTIO,ADENOVIRUSINFEKTIO,079.0,Adenovirus infection in conditions classified elsewhere and of unspecified site,4_digit_level,079.0,"Viral and chlamydial infection in conditions classified elsewhere and of unspecified site, Adenovirus",unique_parent_match,0
0791A,ECHO VIRUSINFEKTIO,ECHO VIRUS INFEKTIO,079.1,Echo virus infection in conditions classified elsewhere and of unspecified site,4_digit_level,079.1,"Viral and chlamydial infection in conditions classified elsewhere and of unspecified site, ECHO virus",unique_parent_match,0
0793A,RHINOVIRUS INFEKTIO,RHINOVIRUS INFEKTIO,079.3,Rhinovirus infection in conditions classified elsewhere and of unspecified site,4_digit_level,079.3,"Viral and chlamydial infection in conditions classified elsewhere and of unspecified site, Rhinovirus",unique_parent_match,0
0798X,INFECT VIROSA ALIA,INFECTIO VIROSA ALIA DEFINITA,079.8,Other specified viral and chlamydial infections in conditions classified elsewhere and of unspecified site,4_digit_level,079.8,"Viral and chlamydial infection in conditions classified elsewhere and of unspecified site, Other specified viral and chlamydial infections",unique_parent_match,0
0799X,INFECT VIROSA NUD,INFECTIO VIROSA NUD,079.9,Unspecified viral and chlamydial infection in conditions classified elsewhere and of unspecified site,4_digit_level,079.9,"Viral and chlamydial infection in conditions classified elsewhere and of unspecified site, Unspecified viral and chlamydial infections",unique_parent_match,0
080,TÄIPILKKUKUUME,TÄIPILKKUKUUME,080,Louse-borne (epidemic) typhus,4_digit_level,080,Louse-borne [epidemic] typhus,full_match,0
0800A,TÄIPILKKUKUUME,TÄIPILKKUKUUME,080,Louse-borne (epidemic) typhus,3_digit_level,080,Louse-borne [epidemic] typhus,grandparent_match,0
081,MUUT PILKKUKUUMEET,MUUT PILKKUKUUMEET,081,Other typhus,4_digit_level,081,Other typhus,full_match,0
0810A,ROTTAPILKKUKUUME,ROTTAPILKKUKUUME,081.0,Murine (endemic) typhus,4_digit_level,081.0,"Other typhus, Murine [endemic] typhus",unique_parent_match,0
0811A,MORBUS BRILL,MORBUS BRILL,081.1,Brill's disease,4_digit_level,081.1,"Other typhus, Brill's disease",unique_parent_match,0
0812A,"""SCRUB TYPHUS""",PENSASPILKKUKUUME,081.2,Scrub typhus,4_digit_level,081.2,"Other typhus, Scrub typhus",unique_parent_match,0
0819X,FEBR EXANTHEM NUD,FEBRIS EXANTHEMICA (TYPHUS) NUD,081.9,"Typhus, unspecified",4_digit_level,081.9,"Other typhus, Typhus, unspecified",unique_parent_match,0
082,RICKETTSIOS/IXODIDES,RICKETTSIOSIS PER IXODIDES,082,Tick-borne rickettsioses,4_digit_level,082,Tick-borne rickettsioses,full_match,0
0820A,R.MOUNT SPOTT FEVER,"""ROCKY MOUNTAIN SPOTTED FEVER""",082.0,Spotted fevers,4_digit_level,082.0,"Tick-borne rickettsioses, Spotted fevers",unique_parent_match,0
0821A,FEBRIS BOUTONNOSA,FEBRIS BOUTONNOSA,082.1,Boutonneuse fever,4_digit_level,082.1,"Tick-borne rickettsioses, Boutonneuse fever",unique_parent_match,0
0828X,RICKETTSIOS/IXOD ALI,RICKETTSIOSIS PER IXODIDES ALIA DEFINITA,082.8,Other specified tick-borne rickettsioses,4_digit_level,082.8,"Tick-borne rickettsioses, Other specified tick-borne rickettsioses",unique_parent_match,0
0829X,RICKETTSIOS/IXOD NUD,RICKETTSIOSIS PER IXODIDES NUD,082.9,"Tick-borne rickettsiosis, unspecified",4_digit_level,082.9,"Tick-borne rickettsioses, Tick-borne rickettsiosis, unspecified",unique_parent_match,0
083,RICKETTSIOSES ALIAE,RICKETTSIOSES ALIAE,083,Other rickettsioses,4_digit_level,083,Other rickettsioses,full_match,0
0830A,"""Q FEVER""","""Q FEVER""",083.0,Q fever,4_digit_level,083.0,"Other rickettsioses, Q fever",unique_parent_match,0
0831A,"""TRENCH FEVER""","""TRENCH FEVER""",083.1,Trench fever,4_digit_level,083.1,"Other rickettsioses, Trench fever",unique_parent_match,0
0832A,VARIOLA/ RICKETTSIAM,VARIOLA PER RICKKETSIAM,083.2,Rickettsialpox,4_digit_level,083.2,"Other rickettsioses, Rickettsialpox",unique_parent_match,0
0838X,RICKETTSIOSES ALIA,RICKETTSIOSES ALIA DEFINITA,083.8,Other specified rickettsioses,4_digit_level,083.8,"Other rickettsioses, Other specified rickettsioses",unique_parent_match,0
0839X,RICKETTSIOSES NUD,RICKETTSIOSES NUD,083.9,"Rickettsiosis, unspecified",4_digit_level,083.9,"Other rickettsioses, Rickettsiosis, unspecified",unique_parent_match,0
084,MALARIA,MALARIA,084,Malaria,4_digit_level,084,Malaria,full_match,0
0840A,FALCIPARA MALARIA,FALCIPARA MALARIA,084.0,Falciparum malaria [malignant tertian],4_digit_level,084.0,"Malaria, Falciparum malaria [malignant tertian]",unique_parent_match,0
0841A,VIVAX MALARIA,VIVAX MALARIA,084.1,Vivax malaria [benign tertian],4_digit_level,084.1,"Malaria, Vivax malaria [benign tertian]",unique_parent_match,0
0842A,MALARIA QUARTANA,QUARTAN MALARIA,084.2,Quartan malaria,4_digit_level,084.2,"Malaria, Quartan malaria",unique_parent_match,0
0843A,MALARIA OVALE,OVALE MALARIA,084.3,Ovale malaria,4_digit_level,084.3,"Malaria, Ovale malaria",unique_parent_match,0
0844X,MALARIA ALIA,MALARIA ALIA,084.4,Other malaria,4_digit_level,084.4,"Malaria, Other malaria",unique_parent_match,0
0845A,MALARIA MIXTA,MALARIA MIXTA,084.5,Mixed malaria,4_digit_level,084.5,"Malaria, Mixed malaria",unique_parent_match,0
0846X,MALARIA NUD,MALARIA NUD,084.6,"Malaria, unspecified",4_digit_level,084.6,"Malaria, unspecified",unique_parent_match,0
0847A,MALARIA INDUCTA,MALARIA INDUCTA,084.7,Induced malaria,4_digit_level,084.7,"Malaria, Induced malaria",unique_parent_match,0
0848A,MUSTAVESIKUUME,MUSTAVESIKUUME,084.8,Blackwater fever,4_digit_level,084.8,"Malaria, Blackwater fever",unique_parent_match,0
0849X,MALARIA+COMPL ALIA,MALRIA CUM COMPLICATIONE ALIA GRAVI,084.9,Other pernicious complications of malaria,4_digit_level,084.9,"Malaria, Other pernicious complications of malaria",unique_parent_match,0
085,LEISHMANIOSIS,LEISHMANIOSIS,085,Leishmaniasis,4_digit_level,085,Leishmaniasis,full_match,0
0850A,KALA-AZAR,LEISHMANIOSIS VISCERALE (KALA-AZAR),085.0,Visceral [kala-azar] leishmaniasis,4_digit_level,085.0,"Leishmaniasis, Visceral [Kala-azar]",unique_parent_match,0
0855A,LEISHMANIOS MUCOCUTA,LEISHMANIOSIS MUCOCUTANEA,085.5,"Mucocutaneous leishmaniasis, (American)",4_digit_level,085.5,"Leishmaniasis, Mucocutaneous (American)",unique_parent_match,0
0859X,LEISHMANIOSIS NUD,LEISHMANIOSIS NUD,085.9,"Leishmaniasis, unspecified",4_digit_level,085.9,"Leishmaniasis, unspecified",unique_parent_match,0
086,TRYPANOSOMIASIS,TRYPANOSOMIASIS,086,Trypanosomiasis,4_digit_level,086,Trypanosomiasis,full_match,0
0860A,MB CHAGAS+MYOCARDIT,MORBUS CHAGAS CUM MYOCARDITIDE,086.0,Chagas' disease with heart involvement,4_digit_level,086.0,"Trypanosomiasis, Chagas' disease with heart involvement",unique_parent_match,0
0861A,MB CHAGAS+MANIFE ALI,MORBUS CHAGAS CUM MANIFESTATIONE ORGANORUM ALIORUM,086.1,Chagas' disease with other organ involvement,4_digit_level,086.1,"Trypanosomiasis, Chagas' disease with other organ involvement",unique_parent_match,0
0862A,MB CHAGAS SINE MANIF,MORBUS CHAGAS SINE MANIFESTATIONE ORGANORUM,086.2,Chagas' disease without mention of organ involvement,4_digit_level,086.2,"Trypanosomiasis, Chagas' disease without mention of organ involvement",unique_parent_match,0
0863A,TRYPANOSOMIAS GAMBIA,TRYPANOSOMIASIS GAMBIA,086.3,Gambian trypanosomiasis,4_digit_level,086.3,"Trypanosomiasis, Gambian trypanosomiasis",unique_parent_match,0
0864A,TRYPANOSOMIAS RHODES,TRYPANOSOMIASIS RHODESIA,086.4,Rhodesian trypanosomiasis,4_digit_level,086.4,"Trypanosomiasis, Rhodesian trypanosomiasis",unique_parent_match,0
0865A,TRYPANOSOM AFRIC ALI,TRYPANOSOMIASIS AFRICANA ALIA DEFINITA,086.5,"African trypanosomiasis, unspecified",4_digit_level,086.5,"Trypanosomiasis, African trypanosomiasis, unspecified",unique_parent_match,0
0869X,TRYPANOSOMIASIS NUD,TRYPANOSOMIASIS NUD,086.9,"Trypanosomiasis, unspecified",4_digit_level,086.9,"Trypanosomiasis, unspecified",unique_parent_match,0
087,TOISINTOKUUME,FEBRIS RECURRENS,087,Relapsing fever,4_digit_level,087,Relapsing fever,full_match,0
0870A,FEBR RECUR/PEDICULU,FEBRIS RECURRENS PER PEDIICULUM,087.0,"Relapsing fever, louse-borne",4_digit_level,087.0,"Relapsing fever, Louse-borne",unique_parent_match,0
0871A,FEBR RECUR/IXODIDES,FEBRIS RECURRENS PER IXODIDES,087.1,"Relapsing fever, tick-borne",4_digit_level,087.1,"Relapsing fever, Tick-borne",unique_parent_match,0
0879X,FEBR RECURRENS NUD,FEBRIS RECURRENS NUD,087.9,"Relapsing fever, unspecified",4_digit_level,087.9,"Relapsing fever, unspecified",unique_parent_match,0
088,MB PER ARTHROPODA AL,MORBI PER ARTHROPODA ALIA,088,Other arthropod-borne diseases,4_digit_level,088,Other arthropod-borne diseases,full_match,0
0880A,BARTONELLOSIS,BARTONELLOSIS,088.0,Bartonellosis,4_digit_level,088.0,"Other arthropod-borne diseases, Bartonellosis",unique_parent_match,0
0888X,MB PER ARTHROPODA AL,MORBUS PER ARTHROPODAS ALIA DEFINITA,088.8,Other specified arthropod-borne diseases,4_digit_level,088.8,"Other arthropod-borne diseases, Other specified arthropod-borne diseases",unique_parent_match,0
0889X,MB PER ARTHROPOD NUD,MORBUS PER ARTHROPODAS NUD,088.9,"Arthropod-borne disease, unspecified",4_digit_level,088.9,"Other arthropod-borne diseases, Arthropod-borne disease, unspecified",unique_parent_match,0
090,SYPHILIS CONGENITA,SYNNYNNÄINEN KUPPA,090,Congenital syphilis,4_digit_level,090,Congenital syphilis,full_match,0
0900A,"TUORE SYN KUPPA,SYMP","SYPHILIS CONGENITA RECENS,SYMPTOMATA",090.0,"Early congenital syphilis, symptomatic",4_digit_level,090.0,"Congenital syphilis, Early congenital syphilis, symptomatic",unique_parent_match,0
0901A,"TUORE SYN KUPPA,LATE","SYPHILIS CONGENITA RECENS, LATENS",090.1,"Early congenital syphilis, latent",4_digit_level,090.1,"Congenital syphilis, Early congenital syphilis, latent",unique_parent_match,0
0902A,TUORE SYNN KUPPA NUD,"SYPHILIS CONGENITA RECENS, NUD",090.2,"Early congenital syphilis, unspecified",4_digit_level,090.2,"Congenital syphilis, Early congenital syphilis, unspecified",unique_parent_match,0
0903A,KERATIT INTERST SYPH,KERATITIS INTERSTITIALIS SYPHILITICA,090.3,Syphilitic interstitial keratitis,4_digit_level,090.3,"Congenital syphilis, Syphilitic interstitial keratitis",unique_parent_match,0
0904A,NEUROSYFILIS JUVENIL,NEUROSYPHILIS JUVENILIS,090.4,Juvenile neurosyphilis,4_digit_level,090.4,"Congenital syphilis, Juvenile neurosyphilis",unique_parent_match,0
0905A,"SYFI CONG TARDA,SYMP","SYPHILIS CONGENITA TARDA, SYMPTOMATICA",090.5,"Other late congenital syphilis, symptomatic",4_digit_level,090.5,"Congenital syphilis, Other late congenital syphilis, symptomatic",unique_parent_match,0
0906A,"SYFI CONG TARDA,LATE","SYPHILIS CONGENITA TARDA, LATENS",090.6,"Late congenital syphilis, latent",4_digit_level,090.6,"Congenital syphilis, Late congenital syphilis, latent",unique_parent_match,0
0907A,SYFIL CONG TARDA NUD,SYPHILIS CONGENITA TARDA NON DEFINITA,090.7,"Late congenital syphilis, unspecified",4_digit_level,090.7,"Congenital syphilis, Late congenital syphilis, unspecified",unique_parent_match,0
0909X,SYFIL CONGENITA NUD,SYPHILIS CONGENITA NUD,090.9,"Congenital syphilis, unspecified",4_digit_level,090.9,"Congenital syphilis, unspecified",unique_parent_match,0
091,SYPHIL RECENS SYMPTO,SYPHILIS RECENS SYMPTOMATICA,091,"Early syphilis, symptomatic",4_digit_level,091,"Early syphilis, symptomatic",full_match,0
0910A,INF PRIM SYF GENITAL,INFECTIO PRIMARIA SYPHILITICA GENITALIS,091.0,Genital syphilis (primary),4_digit_level,091.0,"Early syphilis, symptomatic, Genital syphilis (primary)",unique_parent_match,0
0911A,INF PRIM SYFI ANALIS,INFECTIO PRIMARIA SYPHILITICA ANALIS,091.1,Primary anal syphilis,4_digit_level,091.1,"Early syphilis, symptomatic, Primary anal syphilis",unique_parent_match,0
0912A,INF PRIM SYFILI ALIA,INFECTIO PRIMARIA SYPHILITICA ALIA,091.2,Other primary syphilis,4_digit_level,091.2,"Early syphilis, symptomatic, Other primary syphilis",unique_parent_match,0
0913A,SYFIL SECUND CUTANEA,SYPHILIS SECUNDARIA CUTANEA SIVE MUCOSA,091.3,Secondary syphilis of skin or mucous membranes,4_digit_level,091.3,"Early syphilis, symptomatic, Secondary syphilis of skin or mucous membranes",unique_parent_match,0
0914A,LYMFADENI SYF SECUND,LYMPHADENITIS SYPHILITICA SECUNDARIA,091.4,Adenopathy due to secondary syphilis,4_digit_level,091.4,"Early syphilis, symptomatic, Adenopathy due to secondary syphilis",unique_parent_match,0
0915A,UVEITIS SYFIL SECUND,UVEITIS SYPHILITICA SECUNDARIA,091.5,Uveitis due to secondary syphilis,4_digit_level,091.5,"Early syphilis, symptomatic, Uveitis due to secondary syphilis",unique_parent_match,0
0917A,SYF SECUND RECURRENS,SYPHILIS SECUNDARIA RECURRENS,091.7,"Secondary syphilis, relapse",4_digit_level,091.7,"Early syphilis, symptomatic, Secondary syphilis, relapse",unique_parent_match,0
0918X,SYPHILIS SECUND ALIA,SYPHILIS SECUNDARIA ALIA,091.8,Other forms of secondary syphilis,4_digit_level,091.8,"Early syphilis, symptomatic, Other forms of secondary syphilis",unique_parent_match,0
0919X,SYPHILIS SECUND NUD,SYPHILIS SECUNDARIA NUD,091.9,Unspecified secondary syphilis,4_digit_level,091.9,"Early syphilis, symptomatic, Unspecified secondary syphilis",unique_parent_match,0
092,"SYFILIS RECENS,LATEN","SYPHILIS RECENS, LATENS",092,"Early syphilis, latent",4_digit_level,092,"Early syphilis, latent",full_match,0
0920A,SYF SERO+ POST CURAM,RECIDIVA SEROLOGICA POST CURAM MEDICAM,092.0,"Early syphilis, latent, serological relapse after treatment",4_digit_level,092.0,"Early syphilis, latent, serological relapse after treatment",unique_parent_match,0
0929X,SYF RECENS LATEN NUD,"SYPHILIS RECENS, LATENS NUD",092.9,"Early syphilis, latent, unspecified",4_digit_level,092.9,"Early syphilis, latent, unspecified",unique_parent_match,0
093,SYFILIS CARDIOVASCUL,SYPHILIS CARDIOVASCULARIS,093,Cardiovascular syphilis,4_digit_level,093,Cardiovascular syphilis,full_match,0
0930A,ANEURYSMA SYF AORTAE,ANEURYSMA SYPHILITICUM AORTAE,093.0,"Aneurysm of aorta, specified as syphilitic",4_digit_level,093.0,"Cardiovascular syphilis, Aneurysm of aorta, specified as syphilitic",unique_parent_match,0
0931A,AORTITIS SYPHILITICA,AORTITIS SYPHILITICA,093.1,Syphilitic aortitis,4_digit_level,093.1,"Cardiovascular syphilis, Syphilitic aortitis",unique_parent_match,0
0932A,ENDOCARDIT SYPHILITI,ENDOCARDITIS SYPHILITICA,093.2,Syphilitic endocarditis,4_digit_level,093.2,"Cardiovascular syphilis, Syphilitic endocarditis",unique_parent_match,0
0938X,SYF CARDIOVASC ALIA,SYPHILIS CARDIOVASCULARIS ALIA DEFINITA,093.8,Other specified cardiovascular syphilis,4_digit_level,093.8,"Cardiovascular syphilis, Other specified cardiovascular syphilis",unique_parent_match,0
0939X,SYF CARDIOVASCUL NUD,SYPHILIS CARDIOVASCULARIS NUD,093.9,"Cardiovascular syphilis, unspecified",4_digit_level,093.9,"Cardiovascular syphilis, unspecified",unique_parent_match,0
094,NEUROSYPHILIS,NEUROSYPHILIS,094,Neurosyphilis,4_digit_level,094,Neurosyphilis,full_match,0
0940A,TABES DORSALIS SYFIL,TABES DORSALIS SYPHILITICA,094.0,Tabes dorsalis,4_digit_level,094.0,"Neurosyphilis, Tabes dorsalis",unique_parent_match,0
0941A,DEMENT PARALYT SYFIL,DEMENTIA PARALYTICA SYPHILITICA(PARALYSIE GôNôRALE),094.1,General paresis,4_digit_level,094.1,"Neurosyphilis, General paresis",unique_parent_match,0
0942A,MENINGITIS SYPHILITI,MENINGITIS SYPHILITICA,094.2,Syphilitic meningitis,4_digit_level,094.2,"Neurosyphilis, Syphilitic meningitis",unique_parent_match,0
0943A,NEUROSYFS ASYMPTOMAT,NEUROSYPHILIS ASYMPTOMATICA,094.3,Asymptomatic neurosyphilis,4_digit_level,094.3,"Neurosyphilis, Asymptomatic neurosyphilis",unique_parent_match,0
0948X,NEUROSYPHILIS ALIA,NEUROSYPHILIS ALIA DEFINITA,094.8,Other specified neurosyphilis,4_digit_level,094.8,"Neurosyphilis, Other specified neurosyphilis",unique_parent_match,0
0949X,NEUROSYPHILIS NUD,NEUROSYPHILIS NUD,094.9,"Neurosyphilis, unspecified",4_digit_level,094.9,"Neurosyphilis, unspecified",unique_parent_match,0
095,SYF TARDA ALIA+SYMPT,"SYPHILIS TARDA, ALIA, CUM SYMPTOMATIBUS",095,"Other forms of late syphilis, with symptoms",4_digit_level,095,"Other forms of late syphilis, with symptoms",full_match,0
0950A,SYF TARDA ALIA+SYMPT,"SYPHILIS TARDA, ALIA, CUM SYMPTOMATIBUS",095.0,Syphilitic episcleritis,4_digit_level,095.0,"Other forms of late syphilis, with symptoms, Syphilitic episcleritis",unique_parent_match,0
096,SYFILIS TARDA LATENS,PIILEVÄ MYÖHÄISKUPPA,096,"Late syphilis, latent",4_digit_level,096,"Late syphilis, latent",full_match,0
0960A,SYPFLIS TARDA LATENS,SYPHILIS TARDA LATENS,096,"Late syphilis, latent",3_digit_level,096,"Late syphilis, latent",grandparent_match,0
097,SYPHILIS ALIA/ NUD,SYPHILIS ALIA SIVE NUD,097,Other and unspecified syphilis,4_digit_level,097,Other and unspecified syphilis,full_match,0
0970A,SYPHILIS TARDA NUD,SYPHILIS TARDA NUD,097.0,"Late syphilis, unspecified",4_digit_level,097.0,"Other and unspecified syphilis, Late syphilis, unspecified",unique_parent_match,0
0971A,SYPHILIS LATENS NUD,SYPHILIS LATENS NUD,097.1,"Latent syphilis, unspecified",4_digit_level,097.1,"Other and unspecified syphilis, Latent syphilis, unspecified",unique_parent_match,0
0979X,SYPHILIS NUD,SYPHILIS  NUD,097.9,"Syphilis, unspecified",4_digit_level,097.9,"Other and unspecified syphilis, Syphilis, unspecified",unique_parent_match,0
098,GONORRHOEA,GONORRHOEA,098,Gonococcal infections,4_digit_level,098,Gonococcal infections,full_match,0
0980A,GC AC UROGEN INFERIO,GONORRHOEA ACUTA REGIONIS UROGENITALIS INFERIORIS,098.0,Gonococcal infection (acute) of lower genitourinary tract,4_digit_level,098.0,"Gonococcal infections, Acute, of lower genito-urinary tract",unique_parent_match,0
0981A,GC AC UROGEN SUPERIO,GONORRHOEA ACUTA REGIONIS UROGENITALIS SUPERIORIS,098.1,Gonococcal infection (acute) of upper genitourinary tract,4_digit_level,098.1,"Gonococcal infections, Acute, of upper genito-urinary tract",unique_parent_match,0
0982A,GC CHR UROGEN INFERI,GONORRHOEA CHRONICA REGIONIS UROGENITALIS INFERIORI,098.2,"Gonococcal infection, chronic, of lower genitourinary tract",4_digit_level,098.2,"Gonococcal infections, Chronic, of lower genito-urinary tract",unique_parent_match,0
0983A,GC CHR UROGEN SUPERI,GONORRHOEA CHRONICA REGIONIS UROGENITALIS SUPERIORI,098.3,"Gonococcal infection, chronic, of upper genitourinary tract",4_digit_level,098.3,"Gonococcal infections, Chronic, of upper genito-urinary tract",unique_parent_match,0
0984A,INF GONOCOCCIC OCULI,INFECTIO GONOCOCCICA OCULI,098.4,Gonococcal infection of eye,4_digit_level,098.4,"Gonococcal infections, Gonococcal infection of eye",unique_parent_match,0
0985A,INF GONOCOC ARTICULI,INFECTIO GONOCOCCICA ARTICULI,098.5,Gonococcal infection of joint,4_digit_level,098.5,"Gonococcal infections, Gonococcal infection of joint",unique_parent_match,0
0986A,INF GONOCOC PHARYNGI,INFECTIO GONOCOCCICA PHARYNGIS,098.6,Gonococcal infection of pharynx,4_digit_level,098.6,"Gonococcal infections, Gonococcal infection of pharynx",unique_parent_match,0
0987A,INF GONOCOC ANI/RECT,INFECTIO GONOCOCCICA ANI ET RECTI,098.7,Gonococcal infection of anus and rectum,4_digit_level,098.7,"Gonococcal infections, Gonococcal infection of anus and rectum",unique_parent_match,0
0988A,SEPSIS GONOCOCCICA,SEPTICHAEMIA GONOCOCCICA,098.8,Gonococcal infection of other specified sites,4_digit_level,098.8,"Gonococcal infections, Gonococcal infection of other specified sites",parent_match,0
0988B,PERIHEPATIT GONOCOC,PERIHEPATITIS GONOCOCCICA,098.8,Gonococcal infection of other specified sites,4_digit_level,098.8,"Gonococcal infections, Gonococcal infection of other specified sites",parent_match,0
